text,label_id
"Nãy vào tường nhà "" con "" này. Đọc vài bình luận trong đấy,rồi tự nhủ "" hoá ra khi qua tuổi trưởng thành thì con người suy nghĩ thật kinh tởm,dù là chung dòng máu"". Lòng người khó đoán thật,cái gì cũng có thể nói được. Đọc nhiều khéo bị tẩy não cũng nên. Ahihi !!",2
"Lại quá chuẩn luôn, múp múp như này là ngon👍",0
Đôi lúc mệt mỏi muốn bỏ lại tất cả về quê sống 1 cuộc sống ko gánh nặng tiền bạc. Thế nhưng bao suy nghĩ. Ở đời đâu phải muốn là được đâu.,0
Bô ơi là bô,0
"Bây h tại trung ương thành đại la toàn đỉnh cao trí tuệ, nơi những con bò tự hào luôn rống lên rằng vn vô địch, ra đường người với người thì luôn tỏ ra ta đây hống hách về nhà say rượu đánh vk như dog, có chuyện lên phường thì cúi đầu im thin thít tìm người thân quen để bỏ phong bì, dưới chân thiên tử mà như cc 😤😤😤",2
Nhị Thắng vãi cả đc lên fan cứng. 🤣🤣🤣,1
"Cái mỏ giống cá tai tượng quá ,,bởi vậy nó sạo ke cai thứ chửi Việt nam la kg ưa roi",2
Chả biết hát cg chứ t chỉ đợi anh t ra comeback thôi!!,0
lại thêm loại khùng,2
Chua bao giờ người lại rẽ như bây giờ...!!,1
Cô ba vàng ngọc nghe mắt cười vc đồ thứ nước rửa cầu tiêu mà tưởng mình là sân siêu bột kết.Nói chuyện đéo biết nhục tí nào?Cô Ba Vàng Mã hahahaha,2
Ở 1 diễn biến khác..,0
Noi chuyen tao lai nguoi ta hoi ong mot duong ong tra loi mot neo tao Lao,2
Nay bú hơi nhiều,1
Minh hiếu ơi may với nó cũng một thứ xạo lồn xàm lồn,2
"Thứ ko nhân cách , tiền nhìu cko ngta là cai nghiệp kiep truoc thiếu ngta h trả chứ méo đc miếng đức nào đâu mà hô hào , chị ba ! Chị ba phi",2
Lấy được vợ khôn mát lòng rười rượi :3,0
chó sủa thì kệ cmn :D,1
"đem bom mà rải thảm cho rồi chứ bọn này nát lắm rồi, nó có phân biệt được những người phụ nữ như mẹ nó nữa đâu, ái zà",2
nghe vô lý nhưng rất thuyết phục :),0
Nguyễn Nhật Long vl nắc,1
Chúc ông luôn khỏe,0
Chương trình ln gì vậy ? :D :))),2
Vu Thuy Bich Vy cai nết ia md ne =))),1
"Đinh Bá Trung ơi nếu không có ai đồng ý với ý kiến của mày thì mày nên xem lại đi,1 người cũng đéo có mà cứ cãi. Mày hút thuốc trên xe thì tao xịt thẳng vào mõm mày trước khi lên xe chứ đợi mày gây cháy xe nữa à. Mượn lời ad tý nhé( thằng lỏng bao)",1
ok anh êiiii,0
Bị cô lập thì về đây với em nè abe em dẫn abe đi chơi gái nè . Bao ngon,1
Phạm Hương người ta gọi là đi trước thời đại đấy bạn ạ,0
Hãy tỏ ra là não mình không phẳng đi các bạn.,0
Thấy ngầu vl luôn,0
Anh hùng bàn phím nữa :)),1
Cảm xúc sau khi nhận được huy hiệu fancung :₫,0
"Hay đấy, vừa mới xme",0
Cười chết được,0
Nguyễn Quang Huy thăng l nào chế cái này @@,2
"Thang cc nao ma chang the dc,",1
"Làm như ở dưới gầm giường người ta mà nói, ad nói chuyện ngu vđ",2
Trời ơi miệng dì mà như cá lóc chùi đít vậy oe,2
"Lũ chó , bán nước hại dân",2
đc anh ơi =))),0
Thảo Đào Văn rõ ràng,0
thầy làm e chảy máu rồi đền đi thây,0
vl ad câu like vcc. mà dkm m. t k thấy chứ k phải chó hùa. m thấy k cmt đàng hoàng cho ngta thấy thì m là chó j? chó động kinh hả,2
lại thêm loại khùng,2
đây là một vấn đề hết sức QUAN NGẠI,1
thông đít hàng ngày :),1
Đoàn Thị Thảo vâng,0
dm ông nói phét à 🙂 cái vòng cổ đã quá 2l cụ rồi,1
Oke anh bô,0
Oke anh trung,0
Anh Thư mấy lần đag bú cho chồng c cũng hay cười dị á 🙂 cái giờ c thèm ổng đ’ cho c bú nữa 😭,1
Các bác nên áp dụng gấp thôi,0
Thà rằng cauu không nói ra để hai đứa vẫn như bình thường thì chắc có lẽ tốt hơn cái kiểu thành người dưng với nhau như bây giờ đến từ bạn bè cũng không còn có thể nữa 🙂,0
Giống nhau như 2 giọt nước luôn Thầy,0
tym luôn anh ơi,0
"Bảo quản không đúng quy trình,còn đi kiện họ.Phạt cho thấy mẹ ra.Thử hỏi mua nước về,để trong khó nhiệt dô quá cao,độ ẩm quá lớn thì hỏi chất lượng nào chiệu nổi.""Thông minh tý đi bà con ơi""",2
Nhân cách thua con gấu bông nhà t🙂,1
Cần có 1 người bạn ngồi tâm sự vs mk😔😔,0
thà là các bạn cô đơn ăn tết với gia đình còn hơn là không có gia đình bên cạnh và không có tiền trong người :)))))))))))))),0
"Ta thì nghĩ thằng này là người của tàu cộng, được cử qua đây để làm dư lợn viên, mục đích là làm ảnh hưởng ngôn luận có lợi cho mẫu quốc. Vì xưa nay t đều biết rằng cộng sản mạnh nhất ở điểm là tạo ngôn luận ảnh hưởng mọi người. Từ đó nó sẽ đủ tư cách đi tạo thế, và nói rằng những thằng có suy nghĩ khác nó tức là khác vs mọi người vì suy nghĩ của nó là của mọi người, tức là đi ngược vs dư luận, tức là phản động",2
Lê Thị Bích Hồng tk trẩu,2
Ông bệnh thần kinh mà không hây,2
Vcc,1
"Xin lỗi cảnh sát , buồn cười thật. Phải xin lỗi mọi người dân chứ, vượt đèn đỏ gây tai nạn cho dân . Xl cảnh sát wai gì, nó mà thấy thì ăn hành ngay và luôn",1
Mong virut này nhanh được đẩy lùi :( và không có bệnh nhân nào phải tử vong! ❤️,0
Thịt chó đây này mấy bố ạ,0
Thoại Trần nhà quê,2
Sợ thực sự 😞,0
Địt mẹ lũ chó bán nước,2
☘️Em đang bán 1 số loại thuốc lá thơm ☘️Ai lấy loạj nào Ib em nhe ☘️E co bán lẻ và nhận ship toàn quốc,0
uoc gi cung dc vay,0
trán ngắn tóc dài mồm lai trung cuốc.,1
Mpv cái máu lồn đỏ như tới tháng,1
Gánh gánh cái l má tui bây à. Cái gì củng dân.,2
Cũng may người Nhật được dân Việt ủng hộ,0
Cười vào mặt ông già :v,0
Ngứa mắt vc :v,1
"Lá lành đùm lá rách là ở đó. Tiền thuế người giàu ""đùm"" người kém may mắn. Đó cũng là tư tưởng của mọi đảng chính trị thế giới, và điều nực cười nhất đó là Đảng Cộng sản nỗi dậy vì các tư tưởng bảo vệ người nghèo, người kém may mắn. Nhưng khi nắm quyền thì họ lật lộng. VN cũng có câu hay về những người đó: ""quẹt mỏ như gà"".",2
"Tuan Quoc so sánh vs con gái, chửi con gái ngta đ* này đ* nọ, đéo biết mày có cc không nữa, hay não toàn phân bò",2
"bao phòng chưa anh, chứ em thấy giá đó hơi chua",0
"Huỳnh Hòa ông Quang phông bạt vào đây tán con Thốn mặt lằm rõ ràng kìa bạn, giờ sao? Chơi hay nghỉ? Ks thế lồn nào lại dc với ca sĩ đây :'(",2
Quang Huy n ở cái tầm rồi nha hahaaa,0
Tú cho anh Ba con blue,0
"Bữa nghe bảo anh này nhiễm phóng xạ, nằm viện này nọ cơ mà 😏",1
Nói dân trí thấp lại tự ái,1
căng...,0
Thuy Thu La m nên order chiếc này cho ny m nè,0
Cả thế giới đang cầu nguyện cho dân chúng bình an - báo toàn đăng mấy tin k liên quan ... haizzz chuyện tc của họ kệ đi soi mói vừa,0
Biết sợ mà vẫn cầm😂,0
"Quăng mẹ xuống cho rồi , ông già nuôi tốn tiền bỉm sữa vl",1
ba bá dơ :)),2
"Nhị Thắng ông a chốt hạ câu lên top luôn,vãi cả nồi😂",1
Con me nay an noi lao phét mai mọt bi qua bao nang ne,2
Thành Học Nguyễn Huy r về lây cho ae,0
Xaolonnnnnnnnn=))),1
Đổi thành gặp nhau cuối năm hay gì mà.,0
Đitme ngần ấy tuổi r mà k biết đóng cái khóa quần vào thằng đĩ vượn này,2
Nói gì tào lao kg,1
Đản Đản thứ nl hông,2
Anh đánh máy giỏi thật! Dám biến đường đường là chủ tịch của một thành phố thủ đô trở thành tên nói láo! Tiên sư anh đánh máy!,2
Lê Thanh Tâm mấy anh trên núi tởm thậttt,2
Phương Minn hay cố tình vào đây để bán đồ online :))) sống sạch lên,2
Tưởng Xuân Hiển vcl ba chó :vvv,2
Còn cây kéo đâu a :3,0
Lo bản thân chưa xong đòi lo cho ngta à,0
cô giàu thật thì cô nên giúp người khó khăn đi đừng chửi m. N nv nữa,0
Giọt nước tràn ly đi.. hãy ra nhiều luật vice lone hơn nữa. tôi ủng hộ,1
Anh đó chửi con đỷ này nghe đã tai,2
Ôi dm phát biểu vây coi dân nhu đồ ngu chắc,1
Sau chi ra lăng thế chi chi xinh qua,0
dm linkkkkkkkkkkkk,1
"chắc lão đại biểu này ít đọc báo nên hơi bị mù thông tin, bây giờ ra đường gặp trẻ trâu thì bị đấm lúc nào éo biết nhé",1
Ad ơi lần sau trích cái link dùm mọi người với. Một thao tác mà ngàn người khỏe.,0
Người du lịch ko muốn quay lại. Đi 1 lần là muốn chửi thề rồi.,1
Tiêu Chảy Cấp,0
Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,0
Đúng,0
Đĩ già khùng,2
Con bóng sadec =]],2
Lệ cay là thằng nào ?? Lệ Rơi hả,0
Mầm mống tai họa của xã hội,1
"Đm, thằng giám đốc này đúng ngu hơn heo. Nó nói mình thì cũng kệ mẹ nó rồi âm thầm đì. Đây lại tố cáo thì khác éo j nhận mình là thằng mặt heo cho cả thiên hạ biết :))))",2
tien su no lam mom ?....,1
hát như cái đách lồn dị đó Abe:),2
Như cl luôn =)),1
Hoàng Lệ phát biểu ngu quá ! Xây dựng thì ko có thấy toàn kiểu chia rẻ ! Vớ vẩn,2
"Lạc hậu, nghèo đói , trộm cươp...thời đại rực cmn rỡ",1
Mpv cái máu lồn đỏ như tới tháng,1
haha :9),0
Đức Hải,0
Minh Hoàng nó lại top ms ghê vl,1
Chào cứng :v,0
Đấy nghe chưa. Quốc sư nói Mỹ đã xóa cờ hó VNCH lâu rồi.,2
Quan trọng là ổng giàu ổng mặc cc gì cũng đúng🙂,2
Chào cc :))),1
"Haha, vừa đặt hàng",0
Đụ mẹ a be,2
Bảo dan tri thap thì tự ái :),1
Xạo lol để giựt tiền người ta,1
Duy Linh Bởi vì khẩu trang k thần thánh như dân buôn khẩu trang vẫn thường quảng cáo,0
"Vừa giỏi vừa đẹp trai, cháu mới 21 thôi mà yêu chú luôn ý",0
Thì ra con đàn bà cũng nhận ra cái sai à,1
"Đình Quang đm anh đẹp trai vl, anh vậy mà xấu thì đéo đứa nào dám ra ngoài r anh ạ",1
Anh Lân thật biết chiều lòng khán giả khi phỏng vấn Trần Dần :)),0
Cách tốt nhất để thoát Tàu là dân chủ hóa đất nước nhưng lãnh đạo Việt Nam hiện nay lại xa rời dân chủ.,2
Cà khịa vl,1
Về lập kênh mới à ?,0
Cô panda đã like + share+ sub,0
Ở Việt nam là ra Cailozcatkhong roii đó,1
thay nhời muốn nói.....còn nhiều loài tương tự zậy đó. ai rỗi hơi sưu tầm tiếp đi.....,0
Gì ba giào vá hà cho con ít sài đi,0
Kim Hàng kèo thơm m kkk,0
"hỡi đồng bào ( người dân cu đen vn ) đừng có tin và nghe lời của kẻ đang cầm quyền lãnh đạo toàn trị + độc tài + hút máu chúng ta.Vì bản chất chúng là LOÀI THÚ HOANG,+điên -lên đã quyết bảo vệ quyền lực phạm hạnh PHÁT XÍT +PHONG KIẾN CỰC ĐOAN VỚI TƯ T",2
Lê Phương Linh liều. Vé cao chết mẹ,1
hot lồn chứ hot girl,1
Trend qq gì mà lạ lấm. Cãi lộn cát không,1
Vui vẻ cc cứ theo a độ mà triển,1
Tphcm trong tương lai sẽ là thủ đô thì phải. Vì người ngu sẽ bỏ hết thủ đô hn quá,2
Công nhân chi chưi cug điêu luyên ma chi noi chuyên có duyên nưa,0
Ben my sao cung co quai Thái nua vay troi....song lam gi cho chat Dat,1
Con nít còn biết cá chết do đâu mà -_- !,0
Mỏ như cái lồn linh cá lóc,2
HN Thu Nguyên hoặc cho nó xuống đất ngủ thử cho quen hơi đất,1
Câu hỏi của chương trình ( Ai Là Triệu Phú ),0
Vũ KHẤC Tiệp,2
Vừa nhận được thông báo lên fan cứng thích thú vl :)),0
Gần bằng Bác Ngạn kể rồi anh ưi 🙄🙄,0
MCdn48 Na kute làm cái talkshow chắc cháy vé luôn quá,0
Lon me no,2
Vậy trả thuế lại cho dân đi dân nó tự chống. Mọe làm không được chứ gì. Nói mẹ là cán dọng hết rồi nên làm gì còn mà trả. NGU,2
"Cũng ko ngạc nhiên jì lắm, gần hết 2020 xăng xái cho đạt yêu cầu quan thầy ấy mà, riêng cái điều này coi bộ khó đạt í,có thằng chó nào ra đường nói tiếng tàu với đồng bào,đồng nghiệp,bạn bè bằng tiếng tàu ko,lúc đó nó cho vào bệnh viện tâm thần thì bỏ mẹ,hay về nhà hôn vợ,nựng con nó có nói tiếng tàu được vợ con nó chắc ngạc nhiên lắm vì nghĩ nó bị khùng,hahaha",1
Cực kì thuyết phục :),0
Mưa gió bão bùng,0
Cc,1
chán luôn,1
"Khi quay lại sẽ tốt hơn , vì học hỏi được cái hay của nước ngoài",0
Anh tôi nay đã già rồi,0
live tiếp đi a làm top 1 nữa,0
Em của Phùng Thanh Độ thất lạc bấy lâu nay Phùng Sơn,0
Lấy cây đơm luôn đi abe,0
đem hẳn đặc sản ra trình làng,0
hy vọng bác ko bị chết đột ngột như bác Thanh :V,2
iQ người tày,0
CON QUI CAI CHUYEN DI LUA GAT... MAY GAT CHI MINH HIEU ... SAO LON,2
Nay bú hơi nhiều,1
Dkm đừng chưởi tau nữa để tau còn ăn,0
Công an giao thông là nghề cao quý nhất yea yea,0
"Khu vực Tsim Sha Tsui ( Tân Sa Chủy ), Hong Kong chiều ngày 01/12/2019: Ế đù... 🙂 côn an cũng thả tim nữa 🙂 hôm qua thì trước khi rút có cảnh vẫy tay bái bai",0
ba bá dơ :)),2
Phúc Báo dịch thì sát đít mà đi du lịch như đéo có chuyện gì rồi mang về Việt Nam đéo hiểu mấy đĩ nhà giàu này,2
Việt nam vô địch,0
thầy nhớ mang vinh quang về - nghệ sĩ hài hước clm,1
Da.n ban khong trung. De bua nao qua Cali thu*? pho^?i ong Tr D coi trung khong. Co chem thi 1 nhat thi 8 Tr D cung di doi thoi.,2
"Nhìn mặt tiên tri Trần Dần gầy nhiều, chắc no sợ covid-19, hay bị dương tính covid-19, nếu chưa bị thì ông nên nằm im, ba hoa là chết vì covid-19",0
chi em un ho chi chuoi linh loc,0
Toàn ngu muội. Đi ra đó mà đánh đi.,1
quá đc lun anh ưiiiiiii.,0
"Thằng Việt chờ khi nào thằng Chung xả nước đầu nguồn thì lên truyền thông hoan nghênh nữa nhé, dù gì Việt và Chung cũng là anh em tốt, Chung từng giữ nhà dùm Việt hẳn 1000 năm cơ :)",2
"Nói chuyện thiếu văn hóa , tục tiểu , không ra gì",2
"bảo là đồng lòng tránh dịch mà bán khẩu trang và mì gói giá trên trời, học sinh thì sợ dịch hơn sợ bị phụ huynh gank vậy mà vẫn bắt đi học? thế mà bảo là đồng lòng tránh dịch à? thế là giết hại lẫn nhau ròii",0
"Cái page này phản động đấy, ad súc vật biết cc j đâu",2
phuc NObi ne.troi sinh nguoi ta da vay roi.k thong cam thi thoi.dung co noi bong nay bong no.ky lam ban.bo nge.🙄,0
Hoàng Xuân Tâm mày muốn đợi Tùng ra mv thì mày phải ráng chờ anh GD tung sản phẩm đã khi đó Tùng mới có ý tưởng ra mv cho mày xem,2
Mn bây giờ có ý thức bảo vệ sức khỏe của bản thân bằng cách béo khỏe mỗi ngày,0
Chôn sống nó đi,2
Phàm :)) vlon thanh niên,2
Đúng.là nước mắt cá sấu.. Các bạn bạn diệt tận nơi,1
Chị ba là trai hay gái dạ,0
"Thế đ' nào mà trưa hôm lại sục đc vào cái page này!!! Sướng vãi... Ở đây có thể thả cửa tẹt ga... kiểu như muốn bủm thì bủm đ' gì cứ phải nhăn mặt nhịn làm gì. Nhiều khi cv, vc xảy ra mâu thuẫn xô xát muốn xả quá mà k biết thả vào đâu. Thôi thì từ h xả vào đây vậy :)",0
Làm chuyện ruồi bu...diễn éo sâu!,1
Nứng qá abe ơi :)),1
Nhìn chị sang ghê 💐💞💞💞😍,0
Ông co noi gi đi nua thi ông cung ko dc chết trên đất nước vn đâu phẩn động,2
Lanh dao nuoc ngoai noi nhung cau noi tro thanh kinh dien.con lanh dao vn noi toan nhung loi vo van.vn toi khi nao moi phat trien day.,2
Đúng là tuổi trẻ chưa trải qua sự đời,0
Đm lần đầu tiên bố địt vào mày ad ạ.,2
Thứ bóng dơ,1
Nguyễn Bảo Chấn clm,2
Fan cứng,0
việc đéo gì phải nhường nhịn quyền lợi của mình bị xâm phạm mà,1
._. Cô 3 giàu thấy mẹ hà,0
Những thằng nói đạo lý thường sống như lon coca truong mình tuấn nguyễn bắc son 🤣🤣🤣🤣🤣,2
"Giờ ngân sách thu được ở địa phương nào thi chỉ chi tiêu cho địa phương đó. Saigon là nơi nghèo đói, vì bị bọn Mỹ ""Ngụy"" kềm kẹp, bóc lột lâu năm, được CS vào giải phóng, cứu đói, cứ để cho nó thu bao nhiêu xài bấy nhiêu. Không đủ chi thì kệ Saigon, cho nó chết !",2
Đệt cmm 😃,1
T thắc mắc rất nhiều lun,0
Anh trung vàng bạc 😂,0
"Tàu hũ in tiền sang VN gom đất, nhà, vàng và mua chuộc chó với đầy tớ",2
Đéo 🤣,1
Thầy địt mẹ giả tạo vl =)),2
khô gà thì ít. lá chanh thì nhiều.,0
Ai đó hãy ghép thay cái chai sting bằng cái khác đi :3,0
Lợi cái đầu buồi j hả,1
Xin phép moi người cho tui chũi con chó 1 cái :v,2
Mất lịch sự thì có,1
Thân gửi anh,0
- không biết gì sao làm bọ chưởng ?,2
dkm thằng nào sủa câu này -_-,1
Đồ Uyển Đình Ngọc dcm=)) chai sting vô đầu nha,2
"Trúc Phạm mấy đứa đc lắm, diễn đạt lắm 🤣",0
3k và 38 người. Con số đã nói lên tất cả. Tỉ lệ này là 99% Không đồng ý và chỉ có 1% đồng ý. haha Đâu bao giờ dám trưng cầu dân ý.,2
Nguyễn Hà quá trình hình thành Tùng Sói kìa :)),0
"Đây nữa nek, toàn lũ giáo sư tiến sĩ đầu óc cức",2
và khi bạn đã sinh ra ngay vạch đích thì đối với nỗ lực rất đơn giản còn người sinh ngay vạch đua thì nó lại khác,0
Bả này có dương vật đó,2
Duyệt...✔,0
Đẹp zai giống bố nhưng tâm hồn thích chơi đồ chơi con gái :v,0
Chúc mừng năm mới,0
Toàn là những con người thiếu ý thức mà ra cầu mong dừng lại ở con số này thôi chứ lo lắng quá đi cầu cho máy cha máy mẹ đừng đi tùm lum nữa làm khổ nhiều người lắm muốn chết về nhà đóng cửa chết mình mẹ đi,2
Giang Thanh :)) núp vcl,0
Trúc Loan bị ngu à? Nghe nhạc 2 thằng mà éo hiểu vấn đề,2
"6-700 triệu tiền ship/tháng, gì dữ z má, nói không sợ thụt lưỡi hả trời, ship hàng ra nước ngoài còn chưa tới cỡ đó, mầy ship ra sao diêm vương cho người ngòai hành tinh hay gì mà dữ z",2
Phạm Đăng the mat nước do roi ma k biet ngu ma con kich voi dong,1
Điên,1
chỉ 1 người đứng ra thì làm được gì khi mà tất cả những kẻ khác chỉ biết đứng đó nhìn xem gió thổi chiều nào ta bay theo chiều đó,1
Địt mẹ cái mấu này. Tao nằm ở đây hơi nhiều rồi đấy :))) trích lời anh tôi trong buổi sờ trym tối hôm kia :)))),1
Tiền mà k xem trọng sau này không có cháu mà húp,1
"Gia mà nói chuyện vô duyên, khoe khoang đu thu",1
Quê vlin,1
anh lớn sau này chắc không trông em mà sẽ xem mèo tôm 😌,0
Mat la chi Ba o duoi chac la ong Ba yo,2
Xấu người xấu nết nhìn là biết cái miệng đẻ ra trước (khẩu nghiệp),1
"Chưa bao giờ nền giáo dục được như ngày hôm nay, học sinh nữ lột quần áo đánh nhau ngoài đường, học sinh nam đứng cổ vũ, thầy giáo giao cấu với học trò đến có thai, cô thì đánh học sinh đến nhập viện cấp cứu, học sinh ra đường như du côn, đánh nhau như phim kiếm hiệp, đấy gọi là hạnh phúc hả ông?",1
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,2
Bó tay luôn không còn gì để nói,0
Mẹ mày. Đang họp đấy bọn ngu,2
Add nick mình= có link,0
"anh Dần ơi,572 trương định là quận 1 nha anh .....xưa anh ở Gò Vấp mà bây chờ anh đòi trụ sở UBNN phường Tân Định quận 1 là sao vậy anh tiên tri......he he he",0
"r, hiểu r, bạn là dlv :)) thôi mình out, k nói lại bạn đc, bye nhé",2
Hinh nhu song mui co bi lech ve ben trai,0
Tàu Hủ bản lĩnh lấy nick chính ra sủa nữa đừng lấy nick face clmmm,2
assmin đi chơi gái bị tống à :)),1
"100 người tin ông là cố dấn tối cao 3 đời tổng thống mỹ trong đó có tôi,còn 10 người tin ông chắc chắn còn tôi.không còn người nào tin ông thì khi đó tôi đã chết....i love idol forever",0
"Chỉ cần chặn từ bức tường vt 17 ,nam Bắc phân ranh sẽ trả lời ngay ai cần ai ????? Để bk k phải nuôi nk như bọn chúng từng lếu láo .Hiện tại nk đang bị ĐÔ HỘ bởi bk ,thế mà mn vẫn vui vẽ vì cảm thấy mình k đủ NÍ nuận đành câm như hến để nhờ ơn ỉa đái từ bk",2
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,2
top 1 ez,0
Giống người k :)),0
Cực kỳ thuyết minh,0
.,0
Train với GAM đi anh Ba,0
Vẫn chưa què bằng nhân cách của anh🙂,2
Cảm ơn NKYN_có vũ khí đáp lại bò đỏ rồi!😄,2
Thay vì ngồi xàm lol,1
Clm @@@,1
anh lân hỏi toàn câu hóc búa và trot tên dần này .lão lại càng lên cơn thần kinh nặng hơn .nước mỹ chưa có thuốc trị bệnh thần kinh cho trần dần thì chữa làm sao virus19 được kkkk,2
đã đảo Hàn xẻng bị CS mua chuộc treo cờ máu!!! bên cali mà bắt chước treo thế này chắc nhiều ông bà đứt gân máu tăng xong chết quá 🥶,2
"bởi méo coi phim vn, chán vl",1
Trượt 1 cái xác định,0
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,2
Vài cuốn gì. Trả lại 3/4 tài sản là hết :v,0
Xaolon a ưii😆😆😆,1
"Bọn Việt cộng hầu hết nó khai lý lịch của nó xuất thân từ những gia đình thành phần là bần cố nông, mà bần cố nông thì đéo được học hành đến nơi đến chốn. Hậu quả là bây giờ bọn Việt cộng nó quản lý, điều hành đất nước như cái con C ! Ngóc đầu lên không nổi !",2
Clm nó dơ như chó rách,2
Vãi thật :)) lạy luôn 😰😢,1
Dm tao buồn vl luôn ý :)),1
Lx má cười ỉa :))),1
Vl a ưi,1
866446651,0
Chó ko mọc nga voi...bê đê như thế nào vẫn bóng gió nghe,1
Nhân cách thua con gấu bông nhà t🙂,1
"Chúc bác dần nhiều sức khoẻ nhé, VIỆT NAM MUÔN NĂM 🇻🇳",0
Nhìn cái mặt là k ưa r vênh vênh váo váo,2
Thuyên Võ chây thì chết condime với tụi mình r :))),2
"Đéo tin! Mèo rồi lại hoàn mèo thôi! Dăm ba bữa rồi chìm thôi quá lắm thì kiểm điểm, rút kinh nghiệm",1
Gg :)),0
Già mà dơ,1
Hau Nguyen con cặc :v,2
Sao lại cứ đến nụ cười . lên không nghe rõ lời nói.ngừng cho giọng nói vào vô lý,0
Bả này có dương vật đó,2
Lệ Hằng tại bữa em bị trúng lời nguyền chặt heo á,0
Con me gia mat day vo van hoa,2
7.2K kia chắc fan của thằng Nện Đàn nào đó,0
t k nuốt nổi thời trang,1
nhà bao việc vẫn phải đi phá tanh bành,0
Sai lai cang sai dien lai cang dien,1
"Phương Dung Nguyễn chị chơi vậy, ai đ* chị",2
lãnh đạo v+ toàn bọn ăn tàn phá hoại đúng quy trình.,2
uy tín chó gì bọn độc tài,2
Dờ.... đéo phải đờ nghe chưa thằng hl :3,2
Thế K-ICM ko phải là con trai rồi mà là cây ATM,2
",ai ho ông khùng trần dần len nói xàm lúc nầy vậy?",2
Thăng đit lao nên lam quan chăng thê.cho va cho,2
Làm chuyện ruồi bu...diễn éo sâu!,1
