sample_id,case_type,expected_behavior,original_text,normalized_text,text_changed_by_normalization,predicted_label,confidence,prob_clean,prob_offensive,prob_hate,toxic_span_texts,highlighted_text,highlighted_normalized_text,risk_score,risk_level,moderation_action,human_readable_reason
ex017,abusive,block_or_escalate,Mày là thứ rác rưởi.,Mày là thứ rác rưởi.,False,HATE,0.9900233149528503,0.0033226520754396915,0.0066540841944515705,0.9900233149528503,,Mày là thứ rác rưởi.,Mày là thứ rác rưởi.,1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex018,abusive,block_or_escalate,Đúng là súc vật mới nói vậy.,Đúng là súc vật mới nói vậy.,False,OFFENSIVE,0.8629159927368164,0.01891716942191124,0.8629159927368164,0.11816689372062683,,Đúng là súc vật mới nói vậy.,Đúng là súc vật mới nói vậy.,0.6665531897544861,high,send_to_review,Predicted as OFFENSIVE with confidence 0.86. Risk level is high; suggested action is send_to_review.
ex019,abusive,block_or_escalate,"Nói vậy mà cũng nói được, óc chó thật.","Nói vậy mà cũng nói được, óc chó thật.",False,HATE,0.6905513405799866,0.011145761236548424,0.29830285906791687,0.6905513405799866,,"Nói vậy mà cũng nói được, óc chó thật.","Nói vậy mà cũng nói được, óc chó thật.",0.9552864897251129,critical,block_or_escalate,Predicted as HATE with confidence 0.69. Risk level is critical; suggested action is block_or_escalate.
ex020,abusive,block_or_escalate,"Đừng xuất hiện ở đây nữa, đồ khốn.","Đừng xuất hiện ở đây nữa, đồ khốn.",False,HATE,0.9611201882362366,0.0072782207280397415,0.03160163015127182,0.9611201882362366,,"Đừng xuất hiện ở đây nữa, đồ khốn.","Đừng xuất hiện ở đây nữa, đồ khốn.",1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.96. Risk level is critical; suggested action is block_or_escalate.
ex021,no_accent,normalize_then_flag,may noi chuyen ngu that,may noi chuyen ngu that,False,HATE,0.5147529244422913,0.25711098313331604,0.22813615202903748,0.5147529244422913,,may noi chuyen ngu that,may noi chuyen ngu that,0.903256264925003,critical,block_or_escalate,Predicted as HATE with confidence 0.51. Risk level is critical; suggested action is block_or_escalate.
ex022,no_accent,normalize_then_flag,do ngu doc lai di,do ngu doc lai di,False,OFFENSIVE,0.5170276761054993,0.1673581600189209,0.5170276761054993,0.3156141936779022,,do ngu doc lai di,do ngu doc lai di,0.599335777759552,medium,warn_user,Predicted as OFFENSIVE with confidence 0.52. Risk level is medium; suggested action is warn_user.
ex023,no_accent,normalize_then_flag,cut di dung binh luan nua,cut di dung binh luan nua,False,HATE,0.814952552318573,0.0329401008784771,0.152107372879982,0.814952552318573,,cut di dung binh luan nua,cut di dung binh luan nua,0.9842710095643997,critical,block_or_escalate,Predicted as HATE with confidence 0.81. Risk level is critical; suggested action is block_or_escalate.
ex024,no_accent,normalize_then_flag,noi chuyen mat day qua,noi chuyen mat day qua,False,OFFENSIVE,0.3733801543712616,0.2818736732006073,0.3733801543712616,0.3447462320327759,,noi chuyen mat day qua,noi chuyen mat day qua,0.5925149047374726,medium,warn_user,Predicted as OFFENSIVE with confidence 0.37. Risk level is medium; suggested action is warn_user.
ex025,no_accent_clean,allow,bai viet nay rat hay cam on ban,bai viet nay rat hay cam on ban,False,CLEAN,0.9899588227272034,0.9899588227272034,0.005160836968570948,0.004880374763160944,,bai viet nay rat hay cam on ban,bai viet nay rat hay cam on ban,0.19858862800523638,low,allow,Predicted as CLEAN and no toxic span was found.
ex026,repeated_char,normalize_then_flag,mày nguuuuu vl,mày nguu vãi,True,HATE,0.8964399695396423,0.025155777111649513,0.07840432226657867,0.8964399695396423,,mày nguuuuu vl,mày nguu vãi,1.0,critical,block_or_escalate,"Predicted as HATE with confidence 0.90. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex027,repeated_char,normalize_then_flag,đồ chóooo chết,đồ chóoo chết,True,HATE,0.9062492251396179,0.008413167670369148,0.08533759415149689,0.9062492251396179,,đồ chóooo chết,đồ chóoo chết,1.0,critical,block_or_escalate,"Predicted as HATE with confidence 0.91. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex028,repeated_char,normalize_then_flag,cútttt đi,cútt đi,True,OFFENSIVE,0.896755039691925,0.06402871757745743,0.896755039691925,0.03921634331345558,,cútttt đi,cútt đi,0.6983585169911385,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.90. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex029,repeated_char_clean,allow,bạn dễ thương quáaaa,bạn dễ thương quáaa,True,CLEAN,0.990780770778656,0.990780770778656,0.004530852194875479,0.004688367713242769,,bạn dễ thương quáaaa,bạn dễ thương quáaa,0.19871245766058565,low,allow,Predicted as CLEAN and no toxic span was found.
ex030,special_mask,normalize_then_flag,m.à.y n*g*u vl,mày ngu vãi,True,HATE,0.9890344142913818,0.003592001274228096,0.007373546250164509,0.9890344142913818,,m.à.y n*g*u vl,mày ngu vãi,1.0,critical,block_or_escalate,"Predicted as HATE with confidence 0.99. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex031,special_mask,normalize_then_flag,đ.ồ ch.ó ch.ết,đồ chó chết,True,OFFENSIVE,0.636730432510376,0.013054884038865566,0.636730432510376,0.3502146899700165,,đ.ồ ch.ó ch.ết,đồ chó chết,0.6608324790000916,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.64. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex032,special_mask,normalize_then_flag,c_u_t đi,cut đi,True,OFFENSIVE,0.9770959615707397,0.0075674536637961864,0.9770959615707397,0.015336674638092518,,c_u_t đi,cut đi,0.7157299647480251,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.98. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex033,special_mask_clean,allow,bạn nói rất h.a.y,bạn nói rất hay,True,CLEAN,0.9903873801231384,0.9903873801231384,0.0044923098757863045,0.005120331887155771,,bạn nói rất h.a.y,bạn nói rất hay,0.1986667949706316,low,allow,Predicted as CLEAN and no toxic span was found.
ex034,teencode,allow_or_warn,ko thích cái kiểu nói chuyện này,không thích cái kiểu nói chuyện này,True,CLEAN,0.9864611029624939,0.9864611029624939,0.010751822032034397,0.0027870077174156904,,ko thích cái kiểu nói chuyện này,không thích cái kiểu nói chuyện này,0.19794525409117342,low,allow,Predicted as CLEAN and no toxic span was found.
ex035,teencode,warn_or_review,m nói ngu vl,m nói ngu vãi,True,HATE,0.6644877195358276,0.024653559550642967,0.31085872650146484,0.6644877195358276,,m nói ngu vl,m nói ngu vãi,0.9784909105300903,critical,block_or_escalate,"Predicted as HATE with confidence 0.66. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex036,teencode_clean,allow,t thấy bạn hơi quá lời,t thấy bạn hơi quá lời,False,CLEAN,0.9908362627029419,0.9908362627029419,0.004532154183834791,0.004631606861948967,,t thấy bạn hơi quá lời,t thấy bạn hơi quá lời,0.1987190672568977,low,allow,Predicted as CLEAN and no toxic span was found.
ex037,mixed_noise,normalize_then_flag,may nguuuu vl do cho,may nguu vãi do cho,True,OFFENSIVE,0.7827036380767822,0.07490812242031097,0.7827036380767822,0.14238829910755157,,may nguuuu vl do cho,may nguu vãi do cho,0.6792399370670319,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.78. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex038,mixed_noise,normalize_then_flag,d.o n.g.u c.ut di,do ngu cut di,True,OFFENSIVE,0.8169765472412109,0.02197316475212574,0.8169765472412109,0.16105026006698608,,d.o n.g.u c.ut di,do ngu cut di,0.6889583921432496,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.82. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex039,mixed_noise_clean,allow,ko co gi dau ban noi tiep di,không co gi dau ban noi tiep di,True,HATE,0.43716317415237427,0.2289363592863083,0.33390042185783386,0.43716317415237427,,ko co gi dau ban noi tiep di,không co gi dau ban noi tiep di,0.9283290708065033,critical,block_or_escalate,"Predicted as HATE with confidence 0.44. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex040,ambiguous,review_if_uncertain,"Bạn giỏi quá ha, nói câu nào cũng sai.","Bạn giỏi quá ha, nói câu nào cũng sai.",False,CLEAN,0.9744725823402405,0.9744725823402405,0.005583893042057753,0.019943563267588615,,"Bạn giỏi quá ha, nói câu nào cũng sai.","Bạn giỏi quá ha, nói câu nào cũng sai.",0.1967133572511375,low,allow,Predicted as CLEAN and no toxic span was found.
ex041,ambiguous,allow_or_review,Không biết nên cười hay khóc với ý kiến này.,Không biết nên cười hay khóc với ý kiến này.,False,CLEAN,0.9902641773223877,0.9902641773223877,0.006281749345362186,0.003454087534919381,,Không biết nên cười hay khóc với ý kiến này.,Không biết nên cười hay khóc với ý kiến này.,0.1985804324410856,low,allow,Predicted as CLEAN and no toxic span was found.
ex042,ambiguous,allow,Ý kiến này tệ nhưng mình sẽ không công kích cá nhân.,Ý kiến này tệ nhưng mình sẽ không công kích cá nhân.,False,CLEAN,0.9905739426612854,0.9905739426612854,0.005322209093719721,0.004103869199752808,,Ý kiến này tệ nhưng mình sẽ không công kích cá nhân.,Ý kiến này tệ nhưng mình sẽ không công kích cá nhân.,0.1986559864319861,low,allow,Predicted as CLEAN and no toxic span was found.
ex043,borderline,allow,Bạn nên đọc kỹ hơn trước khi bình luận.,Bạn nên đọc kỹ hơn trước khi bình luận.,False,CLEAN,0.9907644987106323,0.9907644987106323,0.005160418804734945,0.004075058735907078,,Bạn nên đọc kỹ hơn trước khi bình luận.,Bạn nên đọc kỹ hơn trước khi bình luận.,0.19868532119318844,low,allow,Predicted as CLEAN and no toxic span was found.
ex044,borderline,allow_or_warn,Nói thật là cách bạn phản hồi hơi khó chịu.,Nói thật là cách bạn phản hồi hơi khó chịu.,False,CLEAN,0.9869189858436584,0.9869189858436584,0.006146466359496117,0.0069345273077487946,,Nói thật là cách bạn phản hồi hơi khó chịu.,Nói thật là cách bạn phản hồi hơi khó chịu.,0.19818441800773146,low,allow,Predicted as CLEAN and no toxic span was found.
ex045,borderline,allow,Đừng spam nữa nhé.,Đừng spam nữa nhé.,False,CLEAN,0.9853465557098389,0.9853465557098389,0.01155572198331356,0.0030977698042988777,,Đừng spam nữa nhé.,Đừng spam nữa nhé.,0.19777936160564424,low,allow,Predicted as CLEAN and no toxic span was found.
ex046,borderline,allow_or_warn,Spam nữa là mình report đó.,Spam nữa là mình report đó.,False,CLEAN,0.9904091358184814,0.9904091358184814,0.006508716847747564,0.003082153620198369,,Spam nữa là mình report đó.,Spam nữa là mình report đó.,0.19858874812722205,low,allow,Predicted as CLEAN and no toxic span was found.
ex047,offensive,warn_or_review,Đồ ngu mà cứ thích thể hiện.,Đồ ngu mà cứ thích thể hiện.,False,HATE,0.9896754622459412,0.0037068435922265053,0.006617632694542408,0.9896754622459412,,Đồ ngu mà cứ thích thể hiện.,Đồ ngu mà cứ thích thể hiện.,1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex048,offensive,warn_or_review,Mày đúng là hết thuốc chữa.,Mày đúng là hết thuốc chữa.,False,HATE,0.9391745924949646,0.04814836010336876,0.012676975689828396,0.9391745924949646,hết thuốc chữa,Mày đúng là <mark style='background-color:#ffdddd;border:1px solid #ff9999;padding:2px 4px;border-radius:4px;'>hết thuốc chữa</mark>.,Mày đúng là <mark style='background-color:#ffdddd;border:1px solid #ff9999;padding:2px 4px;border-radius:4px;'>hết thuốc chữa</mark>.,1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.94. Detected toxic span(s): hết thuốc chữa. Risk level is critical; suggested action is block_or_escalate.
ex049,borderline,allow_or_warn,Chán cái cách nói chuyện vô duyên này.,Chán cái cách nói chuyện vô duyên này.,False,OFFENSIVE,0.7954374551773071,0.19698834419250488,0.7954374551773071,0.007574194110929966,,Chán cái cách nói chuyện vô duyên này.,Chán cái cách nói chuyện vô duyên này.,0.6415109247714281,high,send_to_review,Predicted as OFFENSIVE with confidence 0.80. Risk level is high; suggested action is send_to_review.
ex050,clean,allow,"Không thích thì góp ý, đừng xúc phạm người khác.","Không thích thì góp ý, đừng xúc phạm người khác.",False,CLEAN,0.9892541170120239,0.9892541170120239,0.007860012352466583,0.0028858615551143885,,"Không thích thì góp ý, đừng xúc phạm người khác.","Không thích thì góp ý, đừng xúc phạm người khác.",0.1983960928209126,low,allow,Predicted as CLEAN and no toxic span was found.
ex051,clean,allow,"Bình luận này không phù hợp, nên dừng lại.","Bình luận này không phù hợp, nên dừng lại.",False,CLEAN,0.9897524118423462,0.9897524118423462,0.006673059891909361,0.003574544098228216,,"Bình luận này không phù hợp, nên dừng lại.","Bình luận này không phù hợp, nên dừng lại.",0.19850336829200388,low,allow,Predicted as CLEAN and no toxic span was found.
ex052,offensive,warn_or_review,Tao thấy mày nói chuyện rất mất dạy.,Tao thấy mày nói chuyện rất mất dạy.,False,HATE,0.9879307746887207,0.004882009234279394,0.007187204901129007,0.9879307746887207,,Tao thấy mày nói chuyện rất mất dạy.,Tao thấy mày nói chuyện rất mất dạy.,1.0,critical,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex053,clean,allow,Mấy câu này nghe rất khó chịu.,Mấy câu này nghe rất khó chịu.,False,CLEAN,0.9845750331878662,0.9845750331878662,0.012101000174880028,0.0033238804899156094,,Mấy câu này nghe rất khó chịu.,Mấy câu này nghe rất khó chịu.,0.1976649570837617,low,allow,Predicted as CLEAN and no toxic span was found.
ex054,offensive,warn_or_review,đm nói gì kỳ vậy,đm nói gì kỳ vậy,False,OFFENSIVE,0.877274751663208,0.011232065968215466,0.877274751663208,0.1114932969212532,,đm nói gì kỳ vậy,đm nói gì kỳ vậy,0.6694654041528701,high,send_to_review,Predicted as OFFENSIVE with confidence 0.88. Risk level is high; suggested action is send_to_review.
ex055,no_accent,normalize_then_flag,dm noi gi ky vay,đm noi gi ky vay,True,OFFENSIVE,0.9672927260398865,0.015333669260144234,0.9672927260398865,0.0173737071454525,,dm noi gi ky vay,đm noi gi ky vay,0.713540150821209,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.97. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex056,special_mask,normalize_then_flag,d.m n.o.i g.i k.y,đm noi gi ky,True,OFFENSIVE,0.9575747847557068,0.012771791778504848,0.9575747847557068,0.029653463512659073,,d.m n.o.i g.i k.y,đm noi gi ky,0.7121902254223824,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.96. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex057,clean,allow,Bạn trình bày thiếu logic nhưng mình hiểu ý chính.,Bạn trình bày thiếu logic nhưng mình hiểu ý chính.,False,CLEAN,0.9765105247497559,0.9765105247497559,0.00733572943136096,0.016153758391737938,,Bạn trình bày thiếu logic nhưng mình hiểu ý chính.,Bạn trình bày thiếu logic nhưng mình hiểu ý chính.,0.19688783479854466,low,allow,Predicted as CLEAN and no toxic span was found.
ex058,offensive,warn_or_review,Ngu thì im đi.,Ngu thì im đi.,False,OFFENSIVE,0.9792943596839905,0.009778068400919437,0.9792943596839905,0.010927490890026093,,Ngu thì im đi.,Ngu thì im đi.,0.6859048455953599,high,send_to_review,Predicted as OFFENSIVE with confidence 0.98. Risk level is high; suggested action is send_to_review.
ex059,no_accent,normalize_then_flag,ngu thi im di,ngu thi im di,False,OFFENSIVE,0.6784143447875977,0.06340068578720093,0.6784143447875977,0.2581849992275238,,ngu thi im di,ngu thi im di,0.6334742426872253,high,send_to_review,Predicted as OFFENSIVE with confidence 0.68. Risk level is high; suggested action is send_to_review.
ex060,special_mask,normalize_then_flag,n.g.u thì im đi,ngu thì im đi,True,OFFENSIVE,0.5755314230918884,0.017371157184243202,0.5755314230918884,0.40709730982780457,,n.g.u thì im đi,ngu thì im đi,0.6506953263282776,high,send_to_review,"Predicted as OFFENSIVE with confidence 0.58. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex061,clean,allow,Mình nghĩ bình luận này có thể gây hiểu lầm.,Mình nghĩ bình luận này có thể gây hiểu lầm.,False,CLEAN,0.9908635020256042,0.9908635020256042,0.005526473745703697,0.003609979059547186,,Mình nghĩ bình luận này có thể gây hiểu lầm.,Mình nghĩ bình luận này có thể gây hiểu lầm.,0.1986825576797128,low,allow,Predicted as CLEAN and no toxic span was found.
ex062,clean,allow,Bạn nói vậy là thiếu tôn trọng người khác.,Bạn nói vậy là thiếu tôn trọng người khác.,False,CLEAN,0.8903791308403015,0.8903791308403015,0.03412725031375885,0.07549367845058441,,Bạn nói vậy là thiếu tôn trọng người khác.,Bạn nói vậy là thiếu tôn trọng người khác.,0.18548041045665742,low,allow,Predicted as CLEAN and no toxic span was found.
ex063,offensive,warn_or_review,Tắt máy học lại đi.,Tắt máy học lại đi.,False,CLEAN,0.8877230286598206,0.8877230286598206,0.10278141498565674,0.009495536796748638,,Tắt máy học lại đi.,Tắt máy học lại đi.,0.18241550527513029,low,allow,Predicted as CLEAN and no toxic span was found.
ex064,borderline,allow_or_warn,Bớt nói linh tinh lại.,Bớt nói linh tinh lại.,False,CLEAN,0.7692092657089233,0.7692092657089233,0.22020988166332245,0.010580804198980331,,Bớt nói linh tinh lại.,Bớt nói linh tinh lại.,0.163496712744236,low,allow,Predicted as CLEAN and no toxic span was found.
