sample_id,text,case_type,expected_behavior,note,original_text,normalized_text,text_changed_by_normalization,predicted_label,confidence,prob_clean,prob_offensive,prob_hate,toxic_spans_original_json,toxic_spans_normalized_json,toxic_span_count_original,toxic_span_count_normalized,toxic_span_texts,highlighted_text,highlighted_normalized_text,risk_score,risk_level,risk_components_json,policy_mode,moderation_action,human_readable_reason
ex011,"Bớt xàm đi, nghe mệt thật sự.",offensive,warn_or_review,mild insult,"Bớt xàm đi, nghe mệt thật sự.","Bớt xàm đi, nghe mệt thật sự.",False,OFFENSIVE,0.9327934980392456,0.05607922002673149,0.9327934980392456,0.011127298697829247,[],[],0,0,,"Bớt xàm đi, nghe mệt thật sự.","Bớt xàm đi, nghe mệt thật sự.",0.6747606234252452,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0866, ""hate_probability_bonus"": 0.0009, ""offensive_probability_bonus"": 0.0373, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.6748}",balanced,send_to_review,Predicted as OFFENSIVE with confidence 0.93. Risk level is high; suggested action is send_to_review.
ex012,Đừng có làm trò rác rưởi ở đây.,offensive,warn_or_review,abusive phrase,Đừng có làm trò rác rưởi ở đây.,Đừng có làm trò rác rưởi ở đây.,False,OFFENSIVE,0.4119744896888733,0.2469577044248581,0.4119744896888733,0.3410678505897522,[],[],0,0,,Đừng có làm trò rác rưởi ở đây.,Đừng có làm trò rác rưởi ở đây.,0.5937644076347351,medium,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0, ""hate_probability_bonus"": 0.0273, ""offensive_probability_bonus"": 0.0165, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.5938}",balanced,warn_user,Predicted as OFFENSIVE with confidence 0.41. Risk level is medium; suggested action is warn_user.
ex013,Mày đúng là đồ điên.,offensive,warn_or_review,direct insult,Mày đúng là đồ điên.,Mày đúng là đồ điên.,False,HATE,0.9918752312660217,0.003186417045071721,0.0049384161829948425,0.9918752312660217,[],[],0,0,,Mày đúng là đồ điên.,Mày đúng là đồ điên.,1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0984, ""hate_probability_bonus"": 0.0794, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex014,Cái kiểu nói chuyện này thật khốn.,offensive,warn_or_review,abusive phrase,Cái kiểu nói chuyện này thật khốn.,Cái kiểu nói chuyện này thật khốn.,False,OFFENSIVE,0.9379597902297974,0.011051001958549023,0.9379597902297974,0.050989165902137756,[],[],0,0,,Cái kiểu nói chuyện này thật khốn.,Cái kiểu nói chuyện này thật khốn.,0.6791894829273224,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0876, ""hate_probability_bonus"": 0.0041, ""offensive_probability_bonus"": 0.0375, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.6792}",balanced,send_to_review,Predicted as OFFENSIVE with confidence 0.94. Risk level is high; suggested action is send_to_review.
ex015,Tao không muốn nghe mày nói nữa.,offensive,warn_or_review,aggressive tone,Tao không muốn nghe mày nói nữa.,Tao không muốn nghe mày nói nữa.,False,CLEAN,0.7677726745605469,0.7677726745605469,0.03528269752860069,0.1969446837902069,[],[],0,0,,Tao không muốn nghe mày nói nữa.,Tao không muốn nghe mày nói nữa.,0.17072141751646996,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0536, ""hate_probability_bonus"": 0.0158, ""offensive_probability_bonus"": 0.0014, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1707}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex016,"Đồ chó chết, biến đi.",abusive,block_or_escalate,strong abuse,"Đồ chó chết, biến đi.","Đồ chó chết, biến đi.",False,HATE,0.9724221229553223,0.004261805675923824,0.02331606112420559,0.9724221229553223,[],[],0,0,,"Đồ chó chết, biến đi.","Đồ chó chết, biến đi.",1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0945, ""hate_probability_bonus"": 0.0778, ""offensive_probability_bonus"": 0.0009, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,Predicted as HATE with confidence 0.97. Risk level is critical; suggested action is block_or_escalate.
ex017,Mày là thứ rác rưởi.,abusive,block_or_escalate,strong abuse,Mày là thứ rác rưởi.,Mày là thứ rác rưởi.,False,HATE,0.9900233149528503,0.0033226520754396915,0.0066540841944515705,0.9900233149528503,[],[],0,0,,Mày là thứ rác rưởi.,Mày là thứ rác rưởi.,1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.098, ""hate_probability_bonus"": 0.0792, ""offensive_probability_bonus"": 0.0003, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,Predicted as HATE with confidence 0.99. Risk level is critical; suggested action is block_or_escalate.
ex018,Đúng là súc vật mới nói vậy.,abusive,block_or_escalate,dehumanizing abuse,Đúng là súc vật mới nói vậy.,Đúng là súc vật mới nói vậy.,False,OFFENSIVE,0.8629159927368164,0.01891716942191124,0.8629159927368164,0.11816689372062683,[],[],0,0,,Đúng là súc vật mới nói vậy.,Đúng là súc vật mới nói vậy.,0.6665531897544861,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0726, ""hate_probability_bonus"": 0.0095, ""offensive_probability_bonus"": 0.0345, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.6666}",balanced,send_to_review,Predicted as OFFENSIVE with confidence 0.86. Risk level is high; suggested action is send_to_review.
ex019,"Nói vậy mà cũng nói được, óc chó thật.",abusive,block_or_escalate,strong insult,"Nói vậy mà cũng nói được, óc chó thật.","Nói vậy mà cũng nói được, óc chó thật.",False,HATE,0.6905513405799866,0.011145761236548424,0.29830285906791687,0.6905513405799866,[],[],0,0,,"Nói vậy mà cũng nói được, óc chó thật.","Nói vậy mà cũng nói được, óc chó thật.",0.9552864897251129,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0381, ""hate_probability_bonus"": 0.0552, ""offensive_probability_bonus"": 0.0119, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.9553}",balanced,block_or_escalate,Predicted as HATE with confidence 0.69. Risk level is critical; suggested action is block_or_escalate.
ex020,"Đừng xuất hiện ở đây nữa, đồ khốn.",abusive,block_or_escalate,strong abuse,"Đừng xuất hiện ở đây nữa, đồ khốn.","Đừng xuất hiện ở đây nữa, đồ khốn.",False,HATE,0.9611201882362366,0.0072782207280397415,0.03160163015127182,0.9611201882362366,[],[],0,0,,"Đừng xuất hiện ở đây nữa, đồ khốn.","Đừng xuất hiện ở đây nữa, đồ khốn.",1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0922, ""hate_probability_bonus"": 0.0769, ""offensive_probability_bonus"": 0.0013, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,Predicted as HATE with confidence 0.96. Risk level is critical; suggested action is block_or_escalate.
ex021,may noi chuyen ngu that,no_accent,normalize_then_flag,no accent offensive,may noi chuyen ngu that,may noi chuyen ngu that,False,HATE,0.5147529244422913,0.25711098313331604,0.22813615202903748,0.5147529244422913,[],[],0,0,,may noi chuyen ngu that,may noi chuyen ngu that,0.903256264925003,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.003, ""hate_probability_bonus"": 0.0412, ""offensive_probability_bonus"": 0.0091, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.9033}",balanced,block_or_escalate,Predicted as HATE with confidence 0.51. Risk level is critical; suggested action is block_or_escalate.
ex022,do ngu doc lai di,no_accent,normalize_then_flag,no accent insult,do ngu doc lai di,do ngu doc lai di,False,OFFENSIVE,0.5170276761054993,0.1673581600189209,0.5170276761054993,0.3156141936779022,[],[],0,0,,do ngu doc lai di,do ngu doc lai di,0.599335777759552,medium,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0034, ""hate_probability_bonus"": 0.0252, ""offensive_probability_bonus"": 0.0207, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.5993}",balanced,warn_user,Predicted as OFFENSIVE with confidence 0.52. Risk level is medium; suggested action is warn_user.
ex023,cut di dung binh luan nua,no_accent,normalize_then_flag,no accent abuse,cut di dung binh luan nua,cut di dung binh luan nua,False,HATE,0.814952552318573,0.0329401008784771,0.152107372879982,0.814952552318573,[],[],0,0,,cut di dung binh luan nua,cut di dung binh luan nua,0.9842710095643997,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.063, ""hate_probability_bonus"": 0.0652, ""offensive_probability_bonus"": 0.0061, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.9843}",balanced,block_or_escalate,Predicted as HATE with confidence 0.81. Risk level is critical; suggested action is block_or_escalate.
ex024,noi chuyen mat day qua,no_accent,normalize_then_flag,no accent offensive,noi chuyen mat day qua,noi chuyen mat day qua,False,OFFENSIVE,0.3733801543712616,0.2818736732006073,0.3733801543712616,0.3447462320327759,[],[],0,0,,noi chuyen mat day qua,noi chuyen mat day qua,0.5925149047374726,medium,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0, ""hate_probability_bonus"": 0.0276, ""offensive_probability_bonus"": 0.0149, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.5925}",balanced,warn_user,Predicted as OFFENSIVE with confidence 0.37. Risk level is medium; suggested action is warn_user.
ex025,bai viet nay rat hay cam on ban,no_accent_clean,allow,no accent clean,bai viet nay rat hay cam on ban,bai viet nay rat hay cam on ban,False,CLEAN,0.9899588227272034,0.9899588227272034,0.005160836968570948,0.004880374763160944,[],[],0,0,,bai viet nay rat hay cam on ban,bai viet nay rat hay cam on ban,0.19858862800523638,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.098, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1986}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex026,mày nguuuuu vl,repeated_char,normalize_then_flag,repeated character toxic,mày nguuuuu vl,mày nguu vãi,True,HATE,0.8964399695396423,0.025155777111649513,0.07840432226657867,0.8964399695396423,[],[],0,0,,mày nguuuuu vl,mày nguu vãi,1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0793, ""hate_probability_bonus"": 0.0717, ""offensive_probability_bonus"": 0.0031, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,"Predicted as HATE with confidence 0.90. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex027,đồ chóooo chết,repeated_char,normalize_then_flag,repeated character abusive,đồ chóooo chết,đồ chóoo chết,True,HATE,0.9062492251396179,0.008413167670369148,0.08533759415149689,0.9062492251396179,[],[],0,0,,đồ chóooo chết,đồ chóoo chết,1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0812, ""hate_probability_bonus"": 0.0725, ""offensive_probability_bonus"": 0.0034, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,"Predicted as HATE with confidence 0.91. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex028,cútttt đi,repeated_char,normalize_then_flag,repeated character offensive,cútttt đi,cútt đi,True,OFFENSIVE,0.896755039691925,0.06402871757745743,0.896755039691925,0.03921634331345558,[],[],0,0,,cútttt đi,cútt đi,0.6983585169911385,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0794, ""hate_probability_bonus"": 0.0031, ""offensive_probability_bonus"": 0.0359, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 0.6984}",balanced,send_to_review,"Predicted as OFFENSIVE with confidence 0.90. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex029,bạn dễ thương quáaaa,repeated_char_clean,allow,repeated char clean,bạn dễ thương quáaaa,bạn dễ thương quáaa,True,CLEAN,0.990780770778656,0.990780770778656,0.004530852194875479,0.004688367713242769,[],[],0,0,,bạn dễ thương quáaaa,bạn dễ thương quáaa,0.19871245766058565,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0982, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1987}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex030,m.à.y n*g*u vl,special_mask,normalize_then_flag,masked offensive,m.à.y n*g*u vl,mày ngu vãi,True,HATE,0.9890344142913818,0.003592001274228096,0.007373546250164509,0.9890344142913818,[],[],0,0,,m.à.y n*g*u vl,mày ngu vãi,1.0,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0978, ""hate_probability_bonus"": 0.0791, ""offensive_probability_bonus"": 0.0003, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 1.0}",balanced,block_or_escalate,"Predicted as HATE with confidence 0.99. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex031,đ.ồ ch.ó ch.ết,special_mask,normalize_then_flag,masked abuse,đ.ồ ch.ó ch.ết,đồ chó chết,True,OFFENSIVE,0.636730432510376,0.013054884038865566,0.636730432510376,0.3502146899700165,[],[],0,0,,đ.ồ ch.ó ch.ết,đồ chó chết,0.6608324790000916,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0273, ""hate_probability_bonus"": 0.028, ""offensive_probability_bonus"": 0.0255, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 0.6608}",balanced,send_to_review,"Predicted as OFFENSIVE with confidence 0.64. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex032,c_u_t đi,special_mask,normalize_then_flag,masked offensive,c_u_t đi,cut đi,True,OFFENSIVE,0.9770959615707397,0.0075674536637961864,0.9770959615707397,0.015336674638092518,[],[],0,0,,c_u_t đi,cut đi,0.7157299647480251,high,"{""base_label_risk"": 0.55, ""confidence_bonus"": 0.0954, ""hate_probability_bonus"": 0.0012, ""offensive_probability_bonus"": 0.0391, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 0.7157}",balanced,send_to_review,"Predicted as OFFENSIVE with confidence 0.98. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is high; suggested action is send_to_review."
ex033,bạn nói rất h.a.y,special_mask_clean,allow,masked clean,bạn nói rất h.a.y,bạn nói rất hay,True,CLEAN,0.9903873801231384,0.9903873801231384,0.0044923098757863045,0.005120331887155771,[],[],0,0,,bạn nói rất h.a.y,bạn nói rất hay,0.1986667949706316,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0981, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1987}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex034,ko thích cái kiểu nói chuyện này,teencode,allow_or_warn,teencode mild,ko thích cái kiểu nói chuyện này,không thích cái kiểu nói chuyện này,True,CLEAN,0.9864611029624939,0.9864611029624939,0.010751822032034397,0.0027870077174156904,[],[],0,0,,ko thích cái kiểu nói chuyện này,không thích cái kiểu nói chuyện này,0.19794525409117342,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0973, ""hate_probability_bonus"": 0.0002, ""offensive_probability_bonus"": 0.0004, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1979}",balanced,allow,Predicted as CLEAN and no toxic span was found.
ex035,m nói ngu vl,teencode,warn_or_review,teencode offensive,m nói ngu vl,m nói ngu vãi,True,HATE,0.6644877195358276,0.024653559550642967,0.31085872650146484,0.6644877195358276,[],[],0,0,,m nói ngu vl,m nói ngu vãi,0.9784909105300903,critical,"{""base_label_risk"": 0.85, ""confidence_bonus"": 0.0329, ""hate_probability_bonus"": 0.0532, ""offensive_probability_bonus"": 0.0124, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.03, ""policy_adjustment"": 0.0, ""final_risk"": 0.9785}",balanced,block_or_escalate,"Predicted as HATE with confidence 0.66. Normalization changed the text, suggesting noisy or obfuscated input. Risk level is critical; suggested action is block_or_escalate."
ex036,t thấy bạn hơi quá lời,teencode_clean,allow,teencode clean,t thấy bạn hơi quá lời,t thấy bạn hơi quá lời,False,CLEAN,0.9908362627029419,0.9908362627029419,0.004532154183834791,0.004631606861948967,[],[],0,0,,t thấy bạn hơi quá lời,t thấy bạn hơi quá lời,0.1987190672568977,low,"{""base_label_risk"": 0.1, ""confidence_bonus"": 0.0982, ""hate_probability_bonus"": 0.0004, ""offensive_probability_bonus"": 0.0002, ""span_count_bonus"": 0.0, ""span_length_bonus"": 0.0, ""normalization_bonus"": 0.0, ""policy_adjustment"": 0.0, ""final_risk"": 0.1987}",balanced,allow,Predicted as CLEAN and no toxic span was found.
