sample_id,case_type,expected_behavior,predicted_label,confidence,risk_score,risk_level,moderation_action,analysis_tags,original_text,normalized_text,toxic_span_texts
ex041,ambiguous,allow_or_review,CLEAN,0.9902641773223877,0.1985804324410856,low,allow,requires_human_judgment,Không biết nên cười hay khóc với ý kiến này.,Không biết nên cười hay khóc với ý kiến này.,
ex042,ambiguous,allow,CLEAN,0.9905739426612854,0.1986559864319861,low,allow,requires_human_judgment,Ý kiến này tệ nhưng mình sẽ không công kích cá nhân.,Ý kiến này tệ nhưng mình sẽ không công kích cá nhân.,
ex043,borderline,allow,CLEAN,0.9907644987106323,0.19868532119318844,low,allow,requires_human_judgment,Bạn nên đọc kỹ hơn trước khi bình luận.,Bạn nên đọc kỹ hơn trước khi bình luận.,
ex044,borderline,allow_or_warn,CLEAN,0.9869189858436584,0.19818441800773146,low,allow,requires_human_judgment,Nói thật là cách bạn phản hồi hơi khó chịu.,Nói thật là cách bạn phản hồi hơi khó chịu.,
ex045,borderline,allow,CLEAN,0.9853465557098389,0.19777936160564424,low,allow,requires_human_judgment,Đừng spam nữa nhé.,Đừng spam nữa nhé.,
ex046,borderline,allow_or_warn,CLEAN,0.9904091358184814,0.19858874812722205,low,allow,requires_human_judgment,Spam nữa là mình report đó.,Spam nữa là mình report đó.,
ex047,offensive,warn_or_review,HATE,0.9896754622459412,1.0,critical,block_or_escalate,high_risk_without_span,Đồ ngu mà cứ thích thể hiện.,Đồ ngu mà cứ thích thể hiện.,
ex048,offensive,warn_or_review,HATE,0.9391745924949646,1.0,critical,block_or_escalate,ok,Mày đúng là hết thuốc chữa.,Mày đúng là hết thuốc chữa.,hết thuốc chữa
ex049,borderline,allow_or_warn,OFFENSIVE,0.7954374551773071,0.6415109247714281,high,send_to_review,"high_risk_without_span, requires_human_judgment",Chán cái cách nói chuyện vô duyên này.,Chán cái cách nói chuyện vô duyên này.,
ex050,clean,allow,CLEAN,0.9892541170120239,0.1983960928209126,low,allow,ok,"Không thích thì góp ý, đừng xúc phạm người khác.","Không thích thì góp ý, đừng xúc phạm người khác.",
ex051,clean,allow,CLEAN,0.9897524118423462,0.19850336829200388,low,allow,ok,"Bình luận này không phù hợp, nên dừng lại.","Bình luận này không phù hợp, nên dừng lại.",
ex052,offensive,warn_or_review,HATE,0.9879307746887207,1.0,critical,block_or_escalate,high_risk_without_span,Tao thấy mày nói chuyện rất mất dạy.,Tao thấy mày nói chuyện rất mất dạy.,
ex053,clean,allow,CLEAN,0.9845750331878662,0.1976649570837617,low,allow,ok,Mấy câu này nghe rất khó chịu.,Mấy câu này nghe rất khó chịu.,
ex054,offensive,warn_or_review,OFFENSIVE,0.877274751663208,0.6694654041528701,high,send_to_review,high_risk_without_span,đm nói gì kỳ vậy,đm nói gì kỳ vậy,
ex055,no_accent,normalize_then_flag,OFFENSIVE,0.9672927260398865,0.713540150821209,high,send_to_review,"high_risk_without_span, normalization_changed_text",dm noi gi ky vay,đm noi gi ky vay,
ex056,special_mask,normalize_then_flag,OFFENSIVE,0.9575747847557068,0.7121902254223824,high,send_to_review,"high_risk_without_span, normalization_changed_text",d.m n.o.i g.i k.y,đm noi gi ky,
ex057,clean,allow,CLEAN,0.9765105247497559,0.19688783479854466,low,allow,ok,Bạn trình bày thiếu logic nhưng mình hiểu ý chính.,Bạn trình bày thiếu logic nhưng mình hiểu ý chính.,
ex058,offensive,warn_or_review,OFFENSIVE,0.9792943596839905,0.6859048455953599,high,send_to_review,high_risk_without_span,Ngu thì im đi.,Ngu thì im đi.,
ex059,no_accent,normalize_then_flag,OFFENSIVE,0.6784143447875977,0.6334742426872253,high,send_to_review,high_risk_without_span,ngu thi im di,ngu thi im di,
ex060,special_mask,normalize_then_flag,OFFENSIVE,0.5755314230918884,0.6506953263282776,high,send_to_review,"uncertain_prediction, high_risk_without_span, normalization_changed_text",n.g.u thì im đi,ngu thì im đi,
ex061,clean,allow,CLEAN,0.9908635020256042,0.1986825576797128,low,allow,ok,Mình nghĩ bình luận này có thể gây hiểu lầm.,Mình nghĩ bình luận này có thể gây hiểu lầm.,
ex062,clean,allow,CLEAN,0.8903791308403015,0.18548041045665742,low,allow,ok,Bạn nói vậy là thiếu tôn trọng người khác.,Bạn nói vậy là thiếu tôn trọng người khác.,
ex063,offensive,warn_or_review,CLEAN,0.8877230286598206,0.18241550527513029,low,allow,possible_under_moderation,Tắt máy học lại đi.,Tắt máy học lại đi.,
ex064,borderline,allow_or_warn,CLEAN,0.7692092657089233,0.163496712744236,low,allow,requires_human_judgment,Bớt nói linh tinh lại.,Bớt nói linh tinh lại.,
