phrase_norm,count,phrase_len,n_words,source_split
clg,7,3,1,train
tử hình,7,7,2,train
chán,6,4,1,train
cức,6,3,1,train
con di,6,6,2,train
mày,6,4,1,train
lừa,6,3,1,train
lão,6,3,1,train
me,6,2,1,train
khủng bố,6,8,2,train
đàn áp,6,6,2,train
cmm,6,3,1,train
đeo,6,3,1,train
giang hồ,6,8,2,train
hèn,6,3,1,train
lone,6,4,1,train
ẳng,6,3,1,train
mịa,6,3,1,train
lôn,6,3,1,train
ngu vl,6,6,2,train
chó hùa,6,7,2,train
sml,6,3,1,train
thang,6,5,1,train
lozz,6,4,1,train
toang,6,5,1,train
vô học,6,6,2,train
ăn,6,2,1,train
con điên,6,8,2,train
chịch,6,5,1,train
hắn,6,3,1,train
ngu dốt,6,7,2,train
tụi m,6,5,2,train
câm,6,3,1,train
đám,6,3,1,train
súc vật,6,7,2,train
sàm,6,3,1,train
nhảm,6,4,1,train
nổ,6,2,1,train
ml,6,2,1,train
dcm,6,3,1,train
chúng m,6,7,2,train
giả tạo,6,7,2,train
ma,6,2,1,train
tàu cộng,6,8,2,train
đụ mẹ,6,5,2,train
thối,5,4,1,train
tàu khựa,5,8,2,train
ba que,5,6,2,train
khựa,5,4,1,train
chet,5,4,1,train
má nó,5,5,2,train
háng,5,4,1,train
bede,5,4,1,train
đầu buồi,5,8,2,train
im mẹ mồm,5,9,3,train
mù,5,2,1,train
thằng chó,5,11,2,train
sủa,5,4,1,train
sao lon,5,7,2,train
bú,5,2,1,train
dmcs,5,4,1,train
dien,5,4,1,train
mầy,5,3,1,train
hùa,5,3,1,train
não phẳng,5,9,2,train
tk,5,2,1,train
cặn bã,5,6,2,train
bọn chúng,5,9,2,train
ác,5,2,1,train
thằng điên,5,10,2,train
du ma,5,5,2,train
mụ,5,2,1,train
ấu dâm,5,6,2,train
quả báo,5,7,2,train
đhs,5,3,1,train
ch!ch,5,5,1,train
con cu,5,6,2,train
l*n,5,3,1,train
nô lệ,5,5,2,train
phò,5,3,1,train
con mẹ mày,5,10,3,train
fake,5,4,1,train
vãi l,5,5,2,train
mẹ mồm,5,6,2,train
bố m,5,4,2,train
bọn,5,4,1,train
nghiệp,5,6,1,train
đốt,5,3,1,train
chửi,5,5,1,train
ỉa,5,3,1,train
nát,4,3,1,train
ích kỷ,4,6,2,train
bon,4,3,1,train
bỏ mẹ,4,5,2,train
mat dai,4,7,2,train
khịa,4,4,1,train
con cac,4,7,2,train
tự nhục,4,7,2,train
cẩu,4,3,1,train
ngáo đá,4,7,2,train
bọn chó,4,7,2,train
gà,4,2,1,train
đ',4,2,1,train
bố mày,4,6,2,train
đú,4,2,1,train
không có não,4,12,3,train
bẩn,4,3,1,train
nhồi sọ,4,7,2,train
trẩu,4,4,1,train
mài,4,3,1,train
bò,4,2,1,train
thăng,4,5,1,train
đu me,4,5,2,train
bóng già,4,8,2,train
vo van hoa,4,10,3,train
địt mẹ m,4,8,3,train
đuổi,4,4,1,train
bất chấp,4,8,2,train
đmcs,4,4,1,train
khinh,4,5,1,train
giả,4,3,1,train
địt cụ,4,6,2,train
con đàn bà,4,10,3,train
xạo l,4,5,2,train
dâm loạn viên,4,13,3,train
lú,4,2,1,train
loạn,4,4,1,train
sân si,4,6,2,train
bưng bô,4,7,2,train
câu like,4,8,2,train
thủ dâm,4,7,2,train
hiếp,4,4,1,train
vãi lol,4,7,2,train
đạo nhái,4,8,2,train
con đĩ,4,6,2,train
trốn,4,4,1,train
chết,4,5,1,train
bụng phệ,4,8,2,train
đớp,4,3,1,train
chém,4,4,1,train
no banh xac,4,11,3,train
lạc hậu,4,7,2,train
thượng đẳng,4,11,2,train
đ*,4,2,1,train
tụi mày,4,7,2,train
tự tử,4,5,2,train
l**,4,3,1,train
kệ mẹ,4,5,2,train
sua,4,3,1,train
lạy,4,3,1,train
xaolol,4,6,1,train
đ m,4,3,2,train
nghiệp quật,4,11,2,train
đéo,4,4,1,train
chó,4,4,1,train
vô dụng,4,7,2,train
tục,4,3,1,train
phá hoại,4,8,2,train
sl,4,2,1,train
xạo loz,4,7,2,train
hãm,4,3,1,train
không có ý thức,3,15,4,train
con thần kinh,3,13,3,train
mồ tổ cha mày,3,13,4,train
thg,3,3,1,train
dmm,3,3,1,train
mõm,3,3,1,train
dlike,3,5,1,train
xamlol,3,6,1,train
trơ trẽn,3,8,2,train
3 que,3,5,2,train
đĩ,3,2,1,train
lật đổ,3,6,2,train
hoang tưởng,3,11,2,train
ngu si,3,6,2,train
tự ái,3,5,2,train
độc tài,3,7,2,train
tàn ác,3,6,2,train
bake,3,4,1,train
đu càng,3,7,2,train
chúng bây,3,10,2,train
bậy,3,3,1,train
bần,3,3,1,train
con ml,3,6,2,train
lũ mọi rợ,3,9,3,train
óc cức,3,6,2,train
vãi đái,3,7,2,train
gian dối,3,8,2,train
xao lol,3,7,2,train
kinh,3,4,1,train
biến,3,4,1,train
tiêu diệt,3,9,2,train
cac,3,3,1,train
lủ,3,2,1,train
ông nội,3,7,2,train
ăn cướp,3,7,2,train
biến thái,3,9,2,train
lòi,3,3,1,train
chửi bậy,3,8,2,train
đcmm,3,4,1,train
ngao da,3,7,2,train
bọn khựa,3,8,2,train
nhuc,3,4,1,train
gáy,3,3,1,train
địt con mẹ,3,10,3,train
vãi lon,3,7,2,train
câm mồm,3,7,2,train
đéo có não,3,10,3,train
tụi tao,3,7,2,train
chó vàng,3,8,2,train
ghet,3,4,1,train
chưi,3,4,1,train
ăn bám,3,6,2,train
phản lại cái động,3,17,4,train
con ngu,3,7,2,train
quái,3,4,1,train
ảo tưởng,3,8,2,train
cut,3,3,1,train
cave,3,4,1,train
linh tinh,3,9,2,train
quỳ,3,3,1,train
vãi nồi,3,7,2,train
duma,3,4,1,train
fuck,3,4,1,train
đit,3,3,1,train
nhai lại,3,8,2,train
nằm vùng,3,8,2,train
lợn,3,3,1,train
nhục mặt,3,8,2,train
đầu bùi,3,7,2,train
đéoo,3,4,1,train
chó đẻ,3,6,2,train
bú cu,3,5,2,train
vớ vẩn,3,6,2,train
xử bắn,3,6,2,train
lôi,3,3,1,train
mọi rợ,3,6,2,train
dam,3,3,1,train
tham ô,3,6,2,train
trộm cướp,3,9,2,train
thiếu ý thức,3,12,3,train
chó má,3,6,2,train
bom,3,3,1,train
liếm,3,4,1,train
3/,3,2,1,train
hoang tuong,3,11,2,train
ngu vcl,3,7,2,train
wtf,3,3,1,train
hỗn,3,3,1,train
thể loại,3,8,2,train
đểu,3,3,1,train
mẹ mày,3,6,2,train
xỉu,3,3,1,train
xác,3,3,1,train
dái,3,3,1,train
đếch,3,4,1,train
vẹo,3,4,1,train
bả,3,2,1,train
đme,3,3,1,train
khuyết tật,3,10,2,train
khóc lóc,3,8,2,train
tay sai,3,7,2,train
xiên,3,4,1,train
sạo lồn,3,7,2,train
sạo lol,3,7,2,train
đậu má,3,6,2,train
cô hồn,3,6,2,train
del,3,3,1,train
xao lon,3,7,2,train
mấy thằng,3,9,2,train
con mẹ nó,3,9,3,train
vlon,3,4,1,train
bắt,3,3,1,train
bac ky,3,6,2,train
ditme,3,5,1,train
hiếp dâm,3,8,2,train
nhục,3,5,1,train
clmm,3,4,1,train
cái lồn mẹ,3,10,3,train
cướp giật,3,9,2,train
be de,3,5,2,train
ý thức như đb,3,13,4,train
củ cặc,3,6,2,train
bóng dơ,3,7,2,train
lũ súc sinh,3,11,3,train
côn đồ,3,6,2,train
con bóng già,3,12,3,train
con quỷ,3,7,2,train
dạng háng,3,9,2,train
tml,3,3,1,train
khau nghiep,3,11,2,train
sợ,3,2,1,train
thằng già,3,9,2,train
chưởi,3,5,1,train
ass,3,3,1,train
cứt,3,4,1,train
kém,3,3,1,train
vãi loz,3,7,2,train
bã,3,2,1,train
phá,3,3,1,train
ăn hôi,3,6,2,train
hối lộ,3,6,2,train
giãy chết,3,9,2,train
chúng nó,3,10,2,train
ma tuý,3,6,2,train
tàu,3,3,1,train
tên,3,3,1,train
bọn mày,3,7,2,train
tụi nó,3,8,2,train
đầu thai,2,8,2,train
lồn má,2,6,2,train
bú đá,2,5,2,train
ăn cắp,2,6,2,train
bắn bỏ,2,6,2,train
đội quần,2,8,2,train
chê,2,3,1,train
tuổi,2,4,1,train
địt mẹ chúng mày,2,16,4,train
ác khẩu,2,7,2,train
vch,2,3,1,train
thua,2,4,1,train
dã man,2,6,2,train
cđ,2,2,1,train
tuổi lồn,2,8,2,train
thằng óc chó,2,12,3,train
con rối,2,7,2,train
la liếm,2,7,2,train
thằng bệnh,2,10,2,train
biểu tình,2,9,2,train
chúng bây,2,9,2,train
đù,2,2,1,train
hống hách,2,9,2,train
dog,2,3,1,train
du me,2,5,2,train
ki thị,2,6,2,train
bọn dlv,2,7,2,train
ngu học,2,7,2,train
bệnh hoạn,2,9,2,train
khắm,2,4,1,train
vô duyên,2,8,2,train
già mà non,2,10,3,train
moá,2,3,1,train
dis,2,3,1,train
chặt,2,4,1,train
khinh thường,2,12,2,train
dị ứng,2,6,2,train
đel,2,3,1,train
cú có gai,2,9,3,train
động dục,2,8,2,train
chúng,2,6,1,train
bu,2,2,1,train
sv,2,2,1,train
xàm loz,2,7,2,train
khùng khùng,2,11,2,train
gian ác,2,7,2,train
mấy,2,3,1,train
con như m,2,9,3,train
than kinh,2,9,2,train
nhai đi nhai lại,2,16,4,train
giết người,2,10,2,train
xử,2,2,1,train
adua,2,4,1,train
chùi lol,2,8,2,train
địt mẹ mày,2,10,3,train
vô liêm sỉ,2,10,3,train
tàn độc,2,7,2,train
nhai,2,4,1,train
mịe,2,3,1,train
thằng lồn,2,9,2,train
đám bò đỏ,2,9,3,train
vẹo,2,3,1,train
tẩy não,2,7,2,train
bây,2,3,1,train
mõm chó,2,7,2,train
cháy,2,4,1,train
mả cha chúng mày,2,16,4,train
đuỵt mọe,2,8,2,train
clgv,2,4,1,train
hỏng,2,4,1,train
thằng ad,2,8,2,train
đặt mìn,2,7,2,train
đéo chết,2,8,2,train
hoang mang,2,10,2,train
đánh bom,2,8,2,train
thằng cha,2,9,2,train
xàm l,2,5,2,train
sam lon,2,7,2,train
nl,2,2,1,train
xàm vl,2,6,2,train
thứ,2,3,1,train
chịt,2,4,1,train
cdm,2,3,1,train
tục tĩu,2,7,2,train
culi,2,4,1,train
xộn lào,2,7,2,train
soi mói,2,7,2,train
cơm sườn,2,8,2,train
thằng assmin,2,12,2,train
rạch,2,4,1,train
độc ác,2,6,2,train
bé,2,2,1,train
phân biệt vùng miền,2,19,4,train
chó rách,2,8,2,train
dcmm,2,4,1,train
củ cải,2,6,2,train
vả,2,2,1,train
cuồng,2,5,1,train
lủ ngu,2,6,2,train
thề,2,3,1,train
con bò đỏ,2,9,3,train
ngu như chó,2,11,3,train
vlol,2,4,1,train
bác hù,2,6,2,train
tội nghiệp,2,10,2,train
chết đói,2,8,2,train
c**,2,3,1,train
trym,2,4,1,train
loại đàn bà,2,11,3,train
bọn cướp,2,8,2,train
dí l,2,4,2,train
chôn,2,4,1,train
tầu cộng,2,8,2,train
bố đời,2,6,2,train
tống tiền,2,9,2,train
cdmm,2,4,1,train
láo cá,2,6,2,train
lưu manh,2,8,2,train
mả bố nó,2,8,3,train
mo,2,2,1,train
vaicalon,2,8,1,train
chết me,2,7,2,train
lừa đảo,2,7,2,train
hán gian,2,8,2,train
3/// xỏ lá,2,10,3,train
bọn 3///,2,8,2,train
bỏ tù,2,5,2,train
đuỹ,2,3,1,train
việt cộng,2,9,2,train
nghèo đói,2,9,2,train
thằng biến thái,2,15,3,train
tụt quần,2,8,2,train
lũ chó chết,2,11,3,train
ghẻ,2,3,1,train
loại người,2,10,2,train
kẻ,2,2,1,train
đầu ngắn,2,8,2,train
tỏ ra thượng đẳng,2,17,4,train
ác quỷ,2,6,2,train
lứng,2,4,1,train
ngột ngạt,2,9,2,train
trộm,2,4,1,train
vô sỉ,2,5,2,train
đầy tớ,2,6,2,train
cno,2,3,1,train
concac,2,6,1,train
tội đồ,2,6,2,train
bôi trơn,2,8,2,train
táng,2,4,1,train
lũ ngu,2,6,2,train
đệch,2,4,1,train
cs,2,2,1,train
đả đảo,2,6,2,train
dư lợn viên,2,11,3,train
cà chớn,2,7,2,train
láo toét,2,8,2,train
con nay,2,7,2,train
bọn vc,2,6,2,train
tham nhung,2,10,2,train
lồn què,2,7,2,train
đút lót,2,7,2,train
đồ khùng,2,8,2,train
lòng vòng,2,9,2,train
lợi dụng,2,8,2,train
ịt,2,2,1,train
chặt chém,2,9,2,train
câm như hến,2,11,3,train
cuc,2,3,1,train
quan tham,2,9,2,train
bốc phốt,2,8,2,train
xuyên tạc,2,9,2,train
con cờ hó,2,9,3,train
tấu hài,2,7,2,train
lz,2,2,1,train
bóng gió,2,8,2,train
già mà dơ,2,9,3,train
mị dân,2,6,2,train
tui,2,3,1,train
di cho,2,6,2,train
chat,2,4,1,train
cat,2,3,1,train
chết mịa,2,8,2,train
béo,2,3,1,train
phang,2,5,1,train
lé,2,2,1,train
tục tiểu,2,8,2,train
cailoncat,2,9,1,train
đạo đức giả,2,11,3,train
trắng biến thành xanh,2,21,4,train
diệt vong,2,9,2,train
hèn hạ,2,6,2,train
hạ cấp,2,6,2,train
ghê tởm,2,7,2,train
nhạc nhẽo,2,9,2,train
tế,2,2,1,train
cái lồn,2,7,2,train
con sán dây,2,11,3,train
đỉ,2,2,1,train
tham nhủng,2,10,2,train
vô văn hóa,2,10,3,train
gian,2,4,1,train
dân trí thấp,2,12,3,train
ám sát,2,6,2,train
đek,2,3,1,train
cd,2,2,1,train
đách lồn,2,8,2,train
chơi gái,2,8,2,train
đm chúng mày,2,12,3,train
bọn ngu,2,7,2,train
vlll,2,4,1,train
khai trừ,2,8,2,train
thôn...làm,2,10,1,train
ranh con,2,8,2,train
mất dậy,2,7,2,train
ói,2,2,1,train
óc,2,2,1,train
đoảng,2,5,1,train
đ’,2,2,1,train
cái thằng,2,9,2,train
cocc,2,4,1,train
lũ khốn nạn,2,11,3,train
hổn láo,2,7,2,train
gay,2,3,1,train
đù má,2,7,2,train
dai,2,3,1,train
assmin,2,6,1,train
xạo lz,2,6,2,train
xả súng,2,7,2,train
xxx,2,3,1,train
ăn tiền,2,7,2,train
chuoi,2,5,1,train
chảnh chó,2,9,2,train
chôn sống,2,9,2,train
mẽo,2,3,1,train
ăn chia,2,7,2,train
cụ,2,2,1,train
việt +,2,6,2,train
xaolon,2,6,1,train
anh hùng bàn phím,2,17,4,train
mom,2,3,1,train
ngu lồn,2,7,2,train
nhỏ,2,3,1,train
nhồi,2,4,1,train
giết quách,2,10,2,train
ia,2,2,1,train
oc cho,2,6,2,train
ahbp,2,4,1,train
đánh sập,2,8,2,train
chet me may,2,11,3,train
clmn,2,4,1,train
nản,2,3,1,train
cướp bóc,2,8,2,train
hành hung,2,9,2,train
ăn hại,2,6,2,train
khoá mõm,2,8,2,train
mả cha,2,6,2,train
sạo,2,3,1,train
ngu muội,2,8,2,train
tai nạn,2,7,2,train
lũ đu càng,2,10,3,train
quy,2,3,1,train
nuốt,2,4,1,train
mất nết,2,7,2,train
con mụ,2,6,2,train
con đỉ,2,6,2,train
con súc vật,2,11,3,train
bóc lột,2,7,2,train
địt cụ mày,2,10,3,train
con khùng,2,9,2,train
báo đời,2,7,2,train
diệt chủng,2,10,2,train
puồi,2,4,1,train
mợ,2,2,1,train
đụ con đĩ mẹ,2,12,4,train
tham,2,4,1,train
ba,2,2,1,train
điên khùng,2,10,2,train
lỗ đít,2,6,2,train
tg,2,2,1,train
gặm xương,2,9,2,train
đinh,2,4,1,train
gê,2,2,1,train
nông nỗi,2,8,2,train
chê bai,2,7,2,train
mọe,2,3,1,train
sủa dơ,2,6,2,train
chiếm,2,5,1,train
cháu bò,2,7,2,train
cục cức,2,7,2,train
chất độc,2,8,2,train
búa liềm,2,8,2,train
ăn nói như bộ phận sinh dục,2,27,7,train
não chó,2,7,2,train
dơ vcl,2,6,2,train
het thuoc chua,2,14,3,train
câm mẹ,2,6,2,train
ma no,2,5,2,train
dẹp,2,3,1,train
clgt,2,4,1,train
lua dao,2,7,2,train
suc vat,2,7,2,train
sửu nhi,2,7,2,train
tinh trùng khuyết tật,2,21,4,train
máu lol,2,7,2,train
vô đầu,2,6,2,train
con gia,2,7,2,train
con mẹ m,2,8,3,train
mất dạy,2,9,2,train
mẹ m,2,4,2,train
cmay,2,4,1,train
phan dong,2,9,2,train
ghen ăn tức ở,2,13,4,train
bọn tao,2,7,2,train
hết thuốc chữa,2,14,3,train
thang khung,2,11,2,train
mu,2,2,1,train
bọn cẩu,2,9,2,train
thiếu hiểu biết,2,15,3,train
trục lợi,2,8,2,train
kỳ thị,2,6,2,train
khon nan,2,8,2,train
sam,2,3,1,train
vịt lam,2,7,2,train
bới,2,3,1,train
lố,2,2,1,train
vđ,2,2,1,train
bắn chết mẹ nó,2,14,4,train
lũ bán nước,2,11,3,train
võ mồm,2,6,2,train
quần xì,2,7,2,train
md,2,2,1,train
con nầy,2,7,2,train
tẩy chai,2,8,2,train
đậu xanh rau má,2,15,4,train
dở hơi,2,6,2,train
vai lon,2,7,2,train
nguy hiểm,2,9,2,train
não,2,3,1,train
ung thư,2,7,2,train
lũ bò,2,5,2,train
bá dơ,2,5,2,train
tàu+,2,4,1,train
lũ ngợm,2,7,2,train
ngàn năm văn vật,2,16,4,train
con hoang,2,9,2,train
nói xạo nói láo,2,15,4,train
con. quy,2,8,2,train
lòn,2,3,1,train
nước mắt cá sấu,2,15,4,train
c.nó,2,4,1,train
khug,2,4,1,train
ăn nghìn tỷ,2,11,3,train
vái,2,3,1,train
đá phò,2,6,2,train
vét,1,3,1,train
nông cản,1,8,2,train
tiêu cực,1,8,2,train
dốt,1,3,1,train
hút cỏ,1,6,2,train
loại nghiện,1,11,2,train
săm trổ,1,7,2,train
hãy tin vào sự lãnh đạo tài tình của đảng và bộ máy nhà nước,1,60,15,train
làm như giàu lắm hay sao mà khoe của thấy ghê,1,45,11,train
cái mặt mình nhìn chung ko có 1 chỗ nào thiện cảm hết,1,53,13,train
mồm độc miệng.hung dữ.nói tục chửi thề,1,38,7,train
đụ má đụ cha,1,12,4,train
hi sinh người chết,1,18,4,train
cho đỡ chật đất,1,15,4,train
cộng sản nằm vùng,1,17,4,train
thở ra cái là thấy mùi,1,22,6,train
bi cần,1,6,2,train
những con bò,1,12,3,train
ông già,1,7,2,train
4 đánh 6,1,8,3,train
nhạc vs nhẽo,1,12,3,train
ngu thì chết,1,12,3,train
ko có ý thức,1,12,4,train
bị đô hộ khéo còn phát triển đc,1,31,8,train
mất xác,1,7,2,train
hot girl ống tinh,1,17,4,train
cái miệng nó dơ bẩn,1,19,5,train
khinh bỉ,1,8,2,train
đíu,1,3,1,train
lam j co van hoa,1,16,5,train
chêt mẹ may,1,11,3,train
trời qua báo may,1,16,4,train
trời qua bao may,1,16,4,train
gu,1,2,1,train
làm gì có văn hóa mà lập ra bộ văn hóa,1,38,11,train
điếm vãi cả nồi,1,15,4,train
mẹ lũ tham quan,1,15,4,train
đỗn lì,1,6,2,train
nước tiểu,1,9,2,train
dnn,1,3,1,train
thịt người,1,10,2,train
du me may,1,9,3,train
chết cụ mày,1,11,3,train
sung,1,4,1,train
dao,1,3,1,train
ba xao,1,6,2,train
đít vịt,1,7,2,train
bêu rếu,1,7,2,train
kẻ khốn nạn,1,11,3,train
đậu móa,1,7,2,train
tổ sử,1,5,2,train
trò hề,1,6,2,train
bán cái lương tâm,1,17,4,train
rách rưới,1,9,2,train
lương lẹo,1,9,2,train
biến con mẹ mày,1,15,4,train
đàn bà j nhìn mặt giống dân ông,1,31,8,train
nho nuoc bot uot het nguoi no,1,29,7,train
tự mãn,1,6,2,train
tự cao tự đại,1,13,4,train
tự kiêu,1,7,2,train
ak 47,1,5,2,train
cái quanque,1,11,2,train
cailoz,1,6,1,train
ốc ác,1,5,2,train
đâu bao giờ dám trưng cầu dân ý,1,31,8,train
giàu mà ăn mặc lạ lùng ghê k bằng ăn mặc quê mùa như mình,1,57,15,train
day khong phai la con nguoi,1,27,6,train
cấu kết,1,7,2,train
bằng mọi thủ đoạn,1,17,4,train
tàn nhẫn,1,8,2,train
thằng hung thủ,1,14,3,train
đáng sợ,1,7,2,train
d m,1,3,2,train
chó đi,1,6,2,train
lạ lồn,1,6,2,train
nhâyy,1,5,1,train
bọn comdom,1,10,2,train
thằng óc như chó,1,16,4,train
l^**,1,4,1,train
non,1,3,1,train
xấu tai xấu hại,1,15,4,train
xấu hết phần chó,1,16,4,train
đậu xanh rau muống,1,18,4,train
người dân ngày đêm cày kéo làm để trả nợ thay cho lũ ăn tàn phá hoại,1,68,17,train
muốn dân hết khổ thì cho vài ba trận đá banh thì dân cứ bão với lũ là hết thôi,1,78,20,train
cứ quán nhậu mọc nhiều hơn thư viện sách thì dân có ngu cũng phải cho mình là thông minh,1,88,20,train
tống vô tù,1,10,3,train
nhuốm máu,1,9,2,train
ko đánh cũng đã khai,1,20,5,train
bọn khủng bố,1,12,3,train
dẹp ngay bọn khủng bố,1,21,5,train
con chó,1,8,2,train
mang cái mặt,1,14,3,train
kg tha thứ,1,10,3,train
suc phạm,1,8,2,train
tuc tĩu mất dạy quá,1,19,5,train
giải phóng,1,10,2,train
vailou,1,6,1,train
lưu vong,1,8,2,train
hèn với giặc ác với dân,1,23,6,train
tham hơn súc vật,1,16,4,train
đãn chó chết,1,12,3,train
nghĩ mình là công chúa các thứ các thứ,1,38,9,train
thằng báo đời,1,13,3,train
đểu cáng,1,8,2,train
chết mẹ t,1,9,3,train
nắc,1,3,1,train
mấy con chó,1,11,3,train
ô nao cug muốn ở phưởng cơ quan có ô nào muốn lò mặt ra ngoài để điều tra,1,73,19,train
con khỉ nói tiếng hoa,1,21,5,train
k có tuổi,1,9,3,train
vong,1,4,1,train
trơ trẽn vkl 💩,1,14,4,train
hít dạ hương,1,12,3,train
lú cmnr,1,7,2,train
phắc ộp,1,7,2,train
ngủ,1,3,1,train
đijt mẹ,1,7,2,train
không bẩn thỉu không phải cộng sản,1,34,7,train
bộ mặt ngu dốt,1,14,4,train
bán nước hại dân,1,16,4,train
ko có văn hóa,1,13,4,train
nhục quốc,1,9,2,train
đứa ca sĩ nước mỹ mặc áo dài không quần ý,1,41,11,train
dạy cho cựu vdv nay vô gu ghồ tìm hiểu xem mảnh vải đỏ có hình sao vàng là cờ của nước nào,1,90,23,train
não bị vi rút ăn hết cmnr,1,25,7,train
còn trinh có cây đinh chính giữa,1,32,7,train
dơ vler,1,7,2,train
con me,1,6,2,train
lao phét,1,9,2,train
bợ đít,1,6,2,train
ngu như lợn,1,11,3,train
nghèo bày dạt nỏ,1,16,4,train
bién,1,4,1,train
ln,1,2,1,train
đéo phải thằng vừa gì đâu,1,25,6,train
chửi sml,1,8,2,train
đụ má xạo lồn,1,13,4,train
không,1,5,1,train
làm kiểu ta đây giàu đi chơi du lịch qua mấy vùng dịch chơi ấy mà,1,65,16,train
ĩ khùng,1,7,2,train
đức chung,1,9,2,train
ko có tiền ko có quan hệ thì cũng thất nghiệp,1,45,11,train
thú dữ,1,6,2,train
khủng hoảng,1,11,2,train
con bóng dơ,1,11,3,train
ngáo đét,1,8,2,train
bêde,1,4,1,train
khổ,1,3,1,train
cái thứ,1,7,2,train
thèng assmin,1,12,2,train
tao đi lãnh 3 củ đây,1,20,6,train
xảm,1,3,1,train
dân bắc,1,7,2,train
gian manh xảo trá,1,17,4,train
chém chết,1,9,2,train
rống,1,4,1,train
ta đây,1,6,2,train
tìm người thân quen để bỏ phong bì,1,34,8,train
bọn ăn bám,1,10,3,train
phản động là nói lên sự thật,1,28,7,train
in tiền như in giấy lộn,1,23,6,train
xứ vịt ngan,1,13,3,train
chán,1,5,1,train
già lẫn,1,7,2,train
cho khug,1,8,2,train
căn buôi,1,8,2,train
trèo cao ngã đau,1,16,4,train
đ ịt,1,4,2,train
vãi lìu,1,7,2,train
rách,1,4,1,train
ảnh hưởng kinh tế gì nhà bạn k,1,30,8,train
xích,1,4,1,train
vào lò,1,6,2,train
không có bằng cấp 3 nhưng lý luận ct rất giỏi,1,45,11,train
loz me,1,6,2,train
đua đòi theo các nước kém phát triển,1,36,8,train
bon bê đê,1,9,3,train
