text_original,text_clean,label_id,label_name,label_binary
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0,CLEAN,0
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))","Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",0,CLEAN,0
Thật chán với chế độ quản lý dân sinh,Thật chán với chế độ quản lý dân sinh,2,HATE,1
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,0,CLEAN,0
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.","có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",0,CLEAN,0
Sống chậm lại các mày ?,Sống chậm lại các mày ?,0,CLEAN,0
Chương trình quảng cáo xin đc bắt đầu,Chương trình quảng cáo xin đc bắt đầu,0,CLEAN,0
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,2,HATE,1
Nhậu cái đm chúng mày lũ chó hại dân hại nước,Nhậu cái đm chúng mày lũ chó hại dân hại nước,2,HATE,1
Thế Vinh Yasbaga tối cao,Thế Vinh Yasbaga tối cao,0,CLEAN,0
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,2,HATE,1
chuẩn,chuẩn,0,CLEAN,0
Chỉ 3 vàng ngọc như con heo nọc nhà e,Chỉ 3 vàng ngọc như con heo nọc nhà e,2,HATE,1
phải thầy k ta,phải thầy k ta,0,CLEAN,0
Cảnh sát chính tả comingg nè :)),Cảnh sát chính tả comingg nè :)),0,CLEAN,0
Xuân đương tới nghĩa là xuân đương qua,Xuân đương tới nghĩa là xuân đương qua,0,CLEAN,0
Nhìn chúng nó cmt mà đắng bạn à =))))))),Nhìn chúng nó cmt mà đắng bạn à =))))))),0,CLEAN,0
Ý thức còn ít hơn cả số tiền trong túi t,Ý thức còn ít hơn cả số tiền trong túi t,1,OFFENSIVE,1
Em yêu anh từ thuở tóc dài,Em yêu anh từ thuở tóc dài,0,CLEAN,0
theo chân mấy anh hàn quốc rồi :,theo chân mấy anh hàn quốc rồi :,0,CLEAN,0
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak","Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",0,CLEAN,0
Mệt quá thầy ạ 😞,Mệt quá thầy ạ 😞,0,CLEAN,0
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),0,CLEAN,0
chị Hôm nay đẹp quá,chị Hôm nay đẹp quá,0,CLEAN,0
Xem r nè,Xem r nè,0,CLEAN,0
Việt Tiến nghèo là rõ 🤦,Việt Tiến nghèo là rõ 🤦,0,CLEAN,0
xxx video 🔞,xxx video 🔞,1,OFFENSIVE,1
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2,HATE,1
Anh ba láo nháo là Tú xiên giờ,Anh ba láo nháo là Tú xiên giờ,2,HATE,1
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0,CLEAN,0
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,0,CLEAN,0
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))","mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",2,HATE,1
Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),0,CLEAN,0
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,2,HATE,1
Vừa tăng lương phát biết ngay,Vừa tăng lương phát biết ngay,0,CLEAN,0
Ai là cảm tình diên like,Ai là cảm tình diên like,0,CLEAN,0
Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,0,CLEAN,0
Đấu khẩu - Chim lợn 👍,Đấu khẩu - Chim lợn 👍,1,OFFENSIVE,1
Cai miệng nói không sợ bị hậu quả,Cai miệng nói không sợ bị hậu quả,1,OFFENSIVE,1
4 năm rồi à,4 năm rồi à,0,CLEAN,0
Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,0,CLEAN,0
Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),0,CLEAN,0
Khắc Thành Nguyễn phục cái máu lồn,Khắc Thành Nguyễn phục cái máu lồn,2,HATE,1
Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,0,CLEAN,0
Chúc abe 20-10 vui vẻ,Chúc abe 20-10 vui vẻ,0,CLEAN,0
ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,0,CLEAN,0
Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp:)),Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp:)),0,CLEAN,0
B52 If J97,B52 If J97,0,CLEAN,0
Chào người anh em,Chào người anh em,0,CLEAN,0
Diệp Gia Nghi nghiệp nó quật m chết bh,Diệp Gia Nghi nghiệp nó quật m chết bh,0,CLEAN,0
"Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị","Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",0,CLEAN,0
9x5=55 chứ ôg a già😆,9x5=55 chứ ôg a già😆,0,CLEAN,0
Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),0,CLEAN,0
Xin video với bro 😄,Xin video với bro 😄,0,CLEAN,0
Bị gì bị lắm thế,Bị gì bị lắm thế,0,CLEAN,0
Du học sinh Úc cơ ấy =)),Du học sinh Úc cơ ấy =)),0,CLEAN,0
Ôi vãi a quang :v,Ôi vãi a quang :v,0,CLEAN,0
Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,0,CLEAN,0
Khá khó🙂,Khá khó🙂,0,CLEAN,0
Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,0,CLEAN,0
Thu Boo xuất sắc ...nhưng em lại làm mấy bạn kia buồn thêm 🤣🤣🤣,Thu Boo xuất sắc ...nhưng em lại làm mấy bạn kia buồn thêm 🤣🤣🤣,0,CLEAN,0
"Hoan nghênh ông Trần Dần có tư tưởng tiến bộ, không chống cộng sản Việt Nam nữa. Chỉ có quên đi quá khứ để yêu thương . Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất. Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão.","Hoan nghênh ông Trần Dần có tư tưởng tiến bộ, không chống cộng sản Việt Nam nữa. Chỉ có quên đi quá khứ để yêu thương . Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất. Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão.",0,CLEAN,0
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,2,HATE,1
Võ Thành Nhân huyền thoại :((,Võ Thành Nhân huyền thoại :((,0,CLEAN,0
Sương mù là tại thiên tai !,Sương mù là tại thiên tai !,0,CLEAN,0
Mình không quan tâm cô đơn cho lắm,Mình không quan tâm cô đơn cho lắm,0,CLEAN,0
Thế e thích làm phù thuỷ r bạn nam phải làm s đây a nhỉ😆,Thế e thích làm phù thuỷ r bạn nam phải làm s đây a nhỉ😆,0,CLEAN,0
Uầy tôi là cưng phán các ông ạ được vl a ưi =))),Uầy tôi là cưng phán các ông ạ được vl a ưi =))),0,CLEAN,0
Maruko Linh,Maruko Linh,0,CLEAN,0
ảnh này ở video Superheroo nghe buồn não ruột -__-,ảnh này ở video Superheroo nghe buồn não ruột -__-,0,CLEAN,0
anh tik nói quá đúng luôn,anh tik nói quá đúng luôn,0,CLEAN,0
BaVi :)),BaVi :)),0,CLEAN,0
Ở đây ai là chủ ???,Ở đây ai là chủ ???,0,CLEAN,0
Minh mẫn vcl,Minh mẫn vcl,1,OFFENSIVE,1
Chú Bòn em chặt chứ ko ăn nha =))))))),Chú Bòn em chặt chứ ko ăn nha =))))))),0,CLEAN,0
Cực kì thuyế...hác xì....á chết mẹ..,Cực kì thuyế...hác xì....á chết mẹ..,0,CLEAN,0
Lee Quang tôi toàn nghe nhạc của bùi anh tuấn! Hà anh tuấn! Nghe mấy bài này ko thấm nổi,Lee Quang tôi toàn nghe nhạc của bùi anh tuấn! Hà anh tuấn! Nghe mấy bài này ko thấm nổi,0,CLEAN,0
Nguyễn Trọng Thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không. Hay là đợi thiệp hồng,Nguyễn Trọng Thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không. Hay là đợi thiệp hồng,0,CLEAN,0
"Có anh Độ, Tết lúc nào chả vui","Có anh Độ, Tết lúc nào chả vui",0,CLEAN,0
Nghe nói trước đây 1 số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ. Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,Nghe nói trước đây 1 số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ. Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,0,CLEAN,0
Huy Hoàng =)),Huy Hoàng =)),0,CLEAN,0
Thảo NG thua tại dốt av qa :v,Thảo NG thua tại dốt av qa :v,0,CLEAN,0
😞,😞,0,CLEAN,0
Dần dần thấy jack mất hay,Dần dần thấy jack mất hay,0,CLEAN,0
Dì 3 ê dì 3_ là trai hay gái ạ,Dì 3 ê dì 3_ là trai hay gái ạ,0,CLEAN,0
Vợ Cuốc sư là Bùi Kim Thành còn vợ nhỏ là lisa phạm,Vợ Cuốc sư là Bùi Kim Thành còn vợ nhỏ là lisa phạm,0,CLEAN,0
Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y như thế :((((,Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y như thế :((((,0,CLEAN,0
éo nha liu liu,éo nha liu liu,1,OFFENSIVE,1
#NAME?,#NAME?,0,CLEAN,0
Cận thận nhà ae,Cận thận nhà ae,0,CLEAN,0
Idol,Idol,0,CLEAN,0
Duyên Phạm ghê tr nay văn chương dữ hén,Duyên Phạm ghê tr nay văn chương dữ hén,0,CLEAN,0
xin ạ,xin ạ,0,CLEAN,0
Hoàng Minh,Hoàng Minh,0,CLEAN,0
Anh Trung Magic,Anh Trung Magic,0,CLEAN,0
"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.","có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.",2,HATE,1
Ck4mk4m là gì á mn,Ck4mk4m là gì á mn,0,CLEAN,0
Cho toyy xin in4 FB hoặc sđt zalo hay ig được hong :33,Cho toyy xin in4 FB hoặc sđt zalo hay ig được hong :33,0,CLEAN,0
Chị chữi là chị cứu nhân độ thế🤣🤣,Chị chữi là chị cứu nhân độ thế🤣🤣,0,CLEAN,0
Nghi vấn thầy chà trộn TTBL tu,Nghi vấn thầy chà trộn TTBL tu,0,CLEAN,0
Lại Hợp Sâm clm đến v thì /ff,Lại Hợp Sâm clm đến v thì /ff,1,OFFENSIVE,1
Dao chặt không đứt kkkkk🤣🤣🤣🤣🤣🤣,Dao chặt không đứt kkkkk🤣🤣🤣🤣🤣🤣,0,CLEAN,0
Hồng Thy cái giọng điệu nói cảm thấy hao hao giống ..!,Hồng Thy cái giọng điệu nói cảm thấy hao hao giống ..!,0,CLEAN,0
Nhanh thực sự,Nhanh thực sự,0,CLEAN,0
Đồng Nhung máy bay phalcon 10 tỷ belike :,Đồng Nhung máy bay phalcon 10 tỷ belike :,0,CLEAN,0
So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),0,CLEAN,0
Nghe kể chuyện tí rồi làm tiếp a Thanh Le :))),Nghe kể chuyện tí rồi làm tiếp a Thanh Le :))),0,CLEAN,0
Hoàng Anh từ tư 😁,Hoàng Anh từ tư 😁,0,CLEAN,0
Dep trai moi co nhieu dua yeu,Dep trai moi co nhieu dua yeu,0,CLEAN,0
Bt các bạn phan cuồng chửi vậy mik đã ko nêu ra ý kiến cá nhân,Bt các bạn phan cuồng chửi vậy mik đã ko nêu ra ý kiến cá nhân,0,CLEAN,0
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,2,HATE,1
Nghe giọng nứkg quá Abe :)),Nghe giọng nứkg quá Abe :)),1,OFFENSIVE,1
ông làm bố tôi hơi lâu rồi đấy' Tùng sói said,ông làm bố tôi hơi lâu rồi đấy' Tùng sói said,0,CLEAN,0
Vì refund top 1 nên tối nay mình xin phép ea..blabla,Vì refund top 1 nên tối nay mình xin phép ea..blabla,0,CLEAN,0
Anh Trung Giả Kim 😂,Anh Trung Giả Kim 😂,0,CLEAN,0
Có khả năng tối nay anh bị ngủ ngoài đường :)) tu bi con tờ niu,Có khả năng tối nay anh bị ngủ ngoài đường :)) tu bi con tờ niu,0,CLEAN,0
Bùn nhở,Bùn nhở,0,CLEAN,0
Pháo thủ toang cmnl @@,Pháo thủ toang cmnl @@,0,CLEAN,0
Bóng khùng bóng điên,Bóng khùng bóng điên,1,OFFENSIVE,1
Làm thêm chục củ mở hòm csgo anh êi :V,Làm thêm chục củ mở hòm csgo anh êi :V,0,CLEAN,0
Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,2,HATE,1
Cao Lãnh với chúng tôi làyy,Cao Lãnh với chúng tôi làyy,0,CLEAN,0
Làm nhẹ 3-0 cho nó ok,Làm nhẹ 3-0 cho nó ok,0,CLEAN,0
🙆🏻‍♀️,🙆🏻‍♀️,0,CLEAN,0
ặc :),ặc :),0,CLEAN,0
Ai xin inb tôi đi,Ai xin inb tôi đi,0,CLEAN,0
"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ, tui cam đoan là như dị","Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ, tui cam đoan là như dị",0,CLEAN,0
"Nhìn chị Minh Hiếu có duyên hết sức, nói chuyện rất chân thật, mặc dù mỗi lần live chửi rất táo tợn nhưng nghe và nhìn chị ấy rất thánh thiện và chất. Chúc chị luôn vui khoẻ và hp. Mong có dịp sẽ được gặp chị","Nhìn chị Minh Hiếu có duyên hết sức, nói chuyện rất chân thật, mặc dù mỗi lần live chửi rất táo tợn nhưng nghe và nhìn chị ấy rất thánh thiện và chất. Chúc chị luôn vui khoẻ và hp. Mong có dịp sẽ được gặp chị",0,CLEAN,0
Dễ thương và duyên quá Cô ơi. Love Cô.,Dễ thương và duyên quá Cô ơi. Love Cô.,0,CLEAN,0
Lê Thị Bích Hồng tk trẩu,Lê Thị Bích Hồng tk trẩu,2,HATE,1
nhớ nuôi kiểu tóc này mới đủ combo nhé ae,nhớ nuôi kiểu tóc này mới đủ combo nhé ae,0,CLEAN,0
Chang Chang 🥥🥥🥥🥥,Chang Chang 🥥🥥🥥🥥,0,CLEAN,0
Nguyễn Trang nói thật mị 🤣,Nguyễn Trang nói thật mị 🤣,0,CLEAN,0
1 ng thì giết 1 mạng . 1 ng thì feed tụt lol,1 ng thì giết 1 mạng . 1 ng thì feed tụt lol,0,CLEAN,0
Có pải nổ lực là có được đâu.pải có 1 chút gọi là may mắn nữa,Có pải nổ lực là có được đâu.pải có 1 chút gọi là may mắn nữa,0,CLEAN,0
Panda Thái đã xem =))),Panda Thái đã xem =))),0,CLEAN,0
Luôn ủng hộ K-ATM,Luôn ủng hộ K-ATM,0,CLEAN,0
Còn bạn này nữa thầy ơi,Còn bạn này nữa thầy ơi,0,CLEAN,0
Giọng cuốn vc,Giọng cuốn vc,0,CLEAN,0
Nguyễn Đào Nguyên,Nguyễn Đào Nguyên,0,CLEAN,0
thế thua gì bác.. k công khai mà cả VN điều biết tên e nó bác nghĩ ngta đón được sao????,thế thua gì bác.. k công khai mà cả VN điều biết tên e nó bác nghĩ ngta đón được sao????,0,CLEAN,0
Ai ki nghe nói cũng đi ý về,Ai ki nghe nói cũng đi ý về,0,CLEAN,0
"không có thì ""sản xuất"" ra -_-","không có thì ""sản xuất"" ra -_-",0,CLEAN,0
Hợp lí anh ơi,Hợp lí anh ơi,0,CLEAN,0
Đc anh ui,Đc anh ui,0,CLEAN,0
Con người sao lại như vậy?,Con người sao lại như vậy?,0,CLEAN,0
Bảo dan tri thap thì tự ái :),Bảo dan tri thap thì tự ái :),1,OFFENSIVE,1
Tại sao phải trả lời thầy,Tại sao phải trả lời thầy,0,CLEAN,0
Cái trend Nghe có vẻ mãi chúng nó vẫn chưa chán nhỉ,Cái trend Nghe có vẻ mãi chúng nó vẫn chưa chán nhỉ,0,CLEAN,0
Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo,Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo,1,OFFENSIVE,1
Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...🙏🙏🙏,Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...🙏🙏🙏,0,CLEAN,0
Anh Minh chậm cái con cặc,Anh Minh chậm cái con cặc,2,HATE,1
reaction thầy ơi,reaction thầy ơi,0,CLEAN,0
Đoạn đánh răng chiếm quá nhiều thgian :)),Đoạn đánh răng chiếm quá nhiều thgian :)),0,CLEAN,0
"Đù dại ghê, bọn đấy ngày nào nó cũng lên Phường xiên cho nó 1 cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum","Đù dại ghê, bọn đấy ngày nào nó cũng lên Phường xiên cho nó 1 cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum",1,OFFENSIVE,1
Chị 3 cho e 200 triệu đi làm chymmm đi huhuh,Chị 3 cho e 200 triệu đi làm chymmm đi huhuh,0,CLEAN,0
Tóm lại là chửi nhau phải có văn hoá 😂😂😂👏🏻👏🏻 e thích page rồi đấy 😂😂,Tóm lại là chửi nhau phải có văn hoá 😂😂😂👏🏻👏🏻 e thích page rồi đấy 😂😂,0,CLEAN,0
A tiệp:,A tiệp:,0,CLEAN,0
Khi đi nhớ đem theo Susan nha thầy :)),Khi đi nhớ đem theo Susan nha thầy :)),0,CLEAN,0
cái tay cái tay,cái tay cái tay,0,CLEAN,0
Vẫn có 1 người tặng quà va len thai cho mình mn ạ.,Vẫn có 1 người tặng quà va len thai cho mình mn ạ.,0,CLEAN,0
Giật cho mất mẹ cả cái mụn ruồi (:,Giật cho mất mẹ cả cái mụn ruồi (:,0,CLEAN,0
Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhìn hoài ko ra 😑😑,Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhìn hoài ko ra 😑😑,1,OFFENSIVE,1
Đào Hà Văn Rinaky Cn anh chị ơi cẩn thận nhé ạ,Đào Hà Văn Rinaky Cn anh chị ơi cẩn thận nhé ạ,0,CLEAN,0
Điều kiện hạn chế viruss phát tán có thể là phòng trên 26 độ là cơ bản. Còn mọi thứ điều cis thể. Hãy đọc kĩ những bài nói về viruss corona the trang chính thống nha,Điều kiện hạn chế viruss phát tán có thể là phòng trên 26 độ là cơ bản. Còn mọi thứ điều cis thể. Hãy đọc kĩ những bài nói về viruss corona the trang chính thống nha,0,CLEAN,0
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,2,HATE,1
Optimusthree với 99% sức mạnh,Optimusthree với 99% sức mạnh,0,CLEAN,0
:3,:3,0,CLEAN,0
Hahahaha,Hahahaha,0,CLEAN,0
"ô thế mọi người k bit ak, Trần Dần mắc bệnh từ khi chưa có dịch ak...ông này mắc loại bệnh còn nguy hiểm hơn Covid 19...","ô thế mọi người k bit ak, Trần Dần mắc bệnh từ khi chưa có dịch ak...ông này mắc loại bệnh còn nguy hiểm hơn Covid 19...",0,CLEAN,0
Đồng bọn nhỏ đó khi zo tù :))),Đồng bọn nhỏ đó khi zo tù :))),0,CLEAN,0
Nguyễn Thị Luận Hà Nam cũng vậy :),Nguyễn Thị Luận Hà Nam cũng vậy :),0,CLEAN,0
gáy to thế mi anh,gáy to thế mi anh,0,CLEAN,0
Bảo Tín đi du lịch gặp con gì ngứa ngứa ở biển e đã sợ lắm r sao xuất hiện con này nữa,Bảo Tín đi du lịch gặp con gì ngứa ngứa ở biển e đã sợ lắm r sao xuất hiện con này nữa,0,CLEAN,0
"Học cách kiểm soát bộ não của mình đi, thích thì tiến tới, ghét thì bỏ qua","Học cách kiểm soát bộ não của mình đi, thích thì tiến tới, ghét thì bỏ qua",0,CLEAN,0
Phạm Linh ko co cl,Phạm Linh ko co cl,1,OFFENSIVE,1
Qtrong gì trước sau gì chẳng về 1 nhà,Qtrong gì trước sau gì chẳng về 1 nhà,0,CLEAN,0
Tức diêng là idol vẫn còn ngon cơm. Tức diêng là mắt thấy tai nghe chứ ko phải nằm chiêm bao,Tức diêng là idol vẫn còn ngon cơm. Tức diêng là mắt thấy tai nghe chứ ko phải nằm chiêm bao,0,CLEAN,0
Con Thương cô lắm,Con Thương cô lắm,0,CLEAN,0
